AoA,Cd_grid_pressure,Cd_model_integrated_pressure,Cd_model_pressure,Cd_openfoam_total,Cl_grid_pressure,Cl_model_integrated_pressure,Cl_model_pressure,Cl_openfoam_total,L_over_D_model_pressure,L_over_D_openfoam_total,Re,U_inf,case,model,naca
-4.0,0.011003579829418637,-0.10271920748993636,0.035826679319143295,0.03793027,-0.14837193726470765,3.4792259750930143,0.37735801935195923,-0.5082811,10.532877356298139,-13.400408170044663,100000.0,0.09999999999999999,case_161,unet,0018
-4.0,0.010607259476576866,-0.025670354026415074,0.03582492470741272,0.03277269,-0.15172910685751106,0.869679325165027,0.3772927224636078,-0.5197019,10.531570562813778,-15.857773652391673,200000.0,0.19999999999999998,case_162,unet,0018
-4.0,0.011480677512938573,-0.0041011289760503914,0.03581971675157547,0.03097693,-0.14836629445924762,0.13908089636312546,0.3770826458930969,-0.5096941,10.52723695467278,-16.45399011457882,500000.0,0.5,case_163,unet,0018
-4.0,0.011398486771332126,-0.0010228629261629556,0.035811647772789,0.0299423,-0.14937422604597808,0.034743099960760054,0.37672221660614014,-0.5130127,10.519544339213217,-17.133376527521264,1000000.0,1.0,case_164,unet,0018
-2.0,0.011443416302752907,0.0186691747336021,0.03582869470119476,0.03379945,-0.08757321462877271,3.4808868575918694,0.3775312006473541,-0.2996185,10.53711846875529,-8.864596909121301,100000.0,0.09999999999999999,case_165,unet,0018
-2.0,0.01108330772768074,0.004676578413419254,0.03582712262868881,0.02803965,-0.08780633569024239,0.8700888678259912,0.3774694800376892,-0.2996733,10.53585809694435,-10.687483616949569,200000.0,0.19999999999999998,case_166,unet,0018
-2.0,0.010825346235246242,0.0007510668082550316,0.03582197427749634,0.02486737,-0.09017743057912293,0.1391516532345239,0.37726348638534546,-0.3073287,10.531621832533823,-12.358713446576779,500000.0,0.5,case_167,unet,0018
-2.0,0.010740158169826609,0.0001890208835127133,0.035813964903354645,0.02379338,-0.09096552248619358,0.03476042801867131,0.37691551446914673,-0.3098783,10.524261010649552,-13.02371920256811,1000000.0,1.0,case_168,unet,0018
0.0,0.011338937208183157,0.14006107843658522,0.035830650478601456,0.03130639,-0.027259108679219872,3.4784642221487436,0.3777206540107727,-0.08984878,10.541830777991388,-2.869982134637689,100000.0,0.09999999999999999,case_169,unet,0018
0.0,0.010969479388716983,0.035019988402970624,0.035829052329063416,0.02556863,-0.027663341687568167,0.8694681756041729,0.37764185667037964,-0.08992623,10.54010173649076,-3.517053123299919,200000.0,0.19999999999999998,case_170,unet,0018
0.0,0.01071509638149089,0.005604784152828412,0.035824112594127655,0.02233096,-0.029307171039345103,0.1390508724860566,0.3774251341819763,-0.09508687,10.535505469683132,-4.2580735445318965,500000.0,0.5,case_171,unet,0018
0.0,0.010631396657093752,0.0014014598502094888,0.03581608831882477,0.02123477,-0.02985997922310871,0.03473514941034533,0.3770921528339386,-0.09681507,10.528568878800222,-4.559270950427059,1000000.0,1.0,case_172,unet,0018
2.0,0.010250715954690738,0.26132582745628924,0.03583269193768501,0.03034441,0.03424186617840417,3.4716703676034135,0.37791407108306885,0.1254616,10.54662797147035,4.134586897553784,100000.0,0.09999999999999999,case_173,unet,0018
2.0,0.009868940591431223,0.06532167125962497,0.03583107888698578,0.0249507,0.03354198155759765,0.8677777905968118,0.3778403103351593,0.1236389,10.545044192693702,4.955327906631878,200000.0,0.19999999999999998,case_174,unet,0018
2.0,0.010623541370845604,0.010450328540198945,0.03582634776830673,0.02308966,0.03218667045466137,0.13878136139986175,0.3776105046272278,0.1195883,10.54002230618873,5.179301037780547,500000.0,0.5,case_175,unet,0018
2.0,0.010535950199227538,0.002612246569599521,0.03581807389855385,0.02198144,0.03188149102158828,0.03466751884726693,0.37725508213043213,0.1187158,10.53253402734377,5.400728978629243,1000000.0,1.0,case_176,unet,0018
4.0,0.01115365018847206,0.38225074547834137,0.03583500534296036,0.036218,0.09342409413919585,3.4607077499739325,0.3780694007873535,0.3308058,10.55028169157574,9.133740129217516,100000.0,0.09999999999999999,case_177,unet,0018
4.0,0.010681570831060262,0.09555184683267973,0.03583338111639023,0.03049074,0.09318633650246988,0.865043300297376,0.3780249059200287,0.3319597,10.549518190654906,10.887230024591073,200000.0,0.19999999999999998,case_178,unet,0018
4.0,0.010397007493087876,0.01528586016704565,0.03582850843667984,0.02722776,0.09306769959974243,0.13834150165052173,0.3777955174446106,0.3320941,10.544550524962355,12.196893905337788,500000.0,0.5,case_179,unet,0018
4.0,0.01030068214569218,0.0038199476093998016,0.03582026809453964,0.02612214,0.09302060760695371,0.034558258249830824,0.37742456793785095,0.3321273,10.53662041115166,12.714398590620831,1000000.0,1.0,case_180,unet,0018
6.0,0.011538335318828646,0.502722242795666,0.0358373261988163,0.04369375,0.1505211922168211,3.4455208930340184,0.3782457709312439,0.5282177,10.554519855438805,12.08909054498641,100000.0,0.09999999999999999,case_181,unet,0018
6.0,0.011000213892544405,0.12567667661478568,0.03583569824695587,0.03801949,0.15024883845361797,0.8612482014590809,0.3781871199607849,0.530507,10.553362665199657,13.95355382200024,200000.0,0.19999999999999998,case_182,unet,0018
6.0,0.010685898371282407,0.02010249696133113,0.035830702632665634,0.03479365,0.15085023473576772,0.13773887395337917,0.37796255946159363,0.5331513,10.548566779067793,15.323235705365777,500000.0,0.5,case_183,unet,0018
6.0,0.010581589948952294,0.005023006024473138,0.035822443664073944,0.03369825,0.1510679148184768,0.034406165117558,0.3776038587093353,0.5340996,10.540985485254078,15.849475862989918,1000000.0,1.0,case_184,unet,0018
8.0,0.010474442063043614,0.6226464464749406,0.03583969175815582,0.05151452,0.20995974022952935,3.4261353652882742,0.3784344792366028,0.734545,10.55908855997582,14.258989504318395,100000.0,0.09999999999999999,case_185,unet,0018
