AoA,CD_integrated_pressure,CD_surrogate,CL_integrated_pressure,CL_over_abs_CD,CL_surrogate,Re,candidate_id,evaluation,family,force_source,m,min_Cp,min_cavitation_margin,model,note,objective,p,risky_cell_fraction,start,t
4.0,0.013807712091243872,0.022859057411551476,0.19299770597779886,15.555031492798596,0.3555889129638672,500000.0,continuous_1,1,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.9204871654510498,98895.4765625,unet,surrogate estimate; validate top designs with OpenFOAM,15.555031492798596,0.4,0.0,0012,0.12
4.0,0.013014521518012847,0.024978213012218475,0.19495983840728498,16.08952208798839,0.40190359950065613,500000.0,continuous_2,2,continuous_naca,direct OpenFOAM-coefficient surrogate,0.00025,-1.0189378261566162,98880.453125,unet,surrogate estimate; validate top designs with OpenFOAM,16.08952208798839,0.4,0.0,0012,0.12
4.0,0.013807712091243872,0.022859057411551476,0.19299770597779886,15.555031492798596,0.3555889129638672,500000.0,continuous_3,3,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.9204871654510498,98895.4765625,unet,surrogate estimate; validate top designs with OpenFOAM,15.555031492798596,0.42000000000000004,0.0,0012,0.12
4.0,0.010788102782992845,0.023151550441980362,0.15954745370971923,15.726842733893427,0.36411651968955994,500000.0,continuous_4,4,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8945277333259583,98891.5390625,unet,surrogate estimate; validate top designs with OpenFOAM,15.726842733893427,0.4,0.0,0012,0.126
4.2,0.01469319951553127,0.02365919202566147,0.20070506407986644,15.813928618238581,0.3741605877876282,500000.0,continuous_5,5,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.9517710208892822,98890.6171875,unet,surrogate estimate; validate top designs with OpenFOAM,15.813928618238581,0.4,0.0,0012,0.12
4.1,0.012267693904691759,0.026033936068415642,0.20014899586104481,16.257201632536066,0.42325520515441895,500000.0,continuous_6,6,continuous_naca,direct OpenFOAM-coefficient surrogate,0.000125,-1.0227018594741821,98880.1640625,unet,surrogate estimate; validate top designs with OpenFOAM,16.257201632536066,0.38,0.0,0012,0.123
4.149999999999999,0.011663416065864528,0.02672629803419113,0.1845487577581697,16.331074640811895,0.43648549914360046,500000.0,continuous_7,7,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0001875,-1.0516366958618164,98875.8359375,unet,surrogate estimate; validate top designs with OpenFOAM,16.331074640811895,0.3600000000000001,0.0,0012,0.1245
4.174999999999999,0.010935614848808664,0.026522424072027206,0.18320379790314967,16.40910219511766,0.43522557616233826,500000.0,continuous_8,8,continuous_naca,direct OpenFOAM-coefficient surrogate,0.00021875,-1.026715636253357,98879.6796875,unet,surrogate estimate; validate top designs with OpenFOAM,16.40910219511766,0.38,0.0,0012,0.12525
4.262499999999999,0.011303331875450243,0.027261823415756226,0.17784177547480323,16.447525416780266,0.4484059810638428,500000.0,continuous_9,9,continuous_naca,direct OpenFOAM-coefficient surrogate,0.000328125,-1.0388617515563965,98871.859375,unet,surrogate estimate; validate top designs with OpenFOAM,16.447525416780266,0.3699999999999999,0.0,0012,0.12787500000000002
4.306249999999999,0.014516202878284546,0.027310233563184738,0.21417989134824106,16.23246630666815,0.4433286786079407,500000.0,continuous_10,10,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0003828125,-1.0958642959594727,98868.484375,unet,surrogate estimate; validate top designs with OpenFOAM,16.23246630666815,0.3649999999999999,0.0,0012,0.1201875
