AoA,Cd_grid_pressure,Cd_model_pressure,Cd_openfoam_total,Cl_grid_pressure,Cl_model_pressure,Cl_openfoam_total,L_over_D_model_pressure,L_over_D_openfoam_total,Re,U_inf,case,model,naca
-2.0,0.005843404551947191,-0.004195468571703558,0.01695443,-0.03606109461106135,0.13831212896964673,-0.06813143,32.96702778385621,-4.018503128680823,100000.0,0.09999999999999999,case_001,fno,0006
0.0,0.00029963188353869584,0.0013142834615180769,0.01731737,-0.01190220728171461,0.02631343954262313,-0.03026789,20.021129621633918,-1.7478341110688287,100000.0,0.09999999999999999,case_002,fno,0008
4.0,0.0027445233602556747,0.0010118116352920879,0.01455178,-0.016627672158694626,0.004297527442619636,-0.03650699,4.247359184972244,-2.5087645635104434,200000.0,0.19999999999999998,case_003,fno,0012
6.0,0.020051295472606073,0.014400836100472823,0.03693145,0.1538616026804379,0.1072035994226005,0.2124311,7.444262171630485,5.7520378972393456,500000.0,0.5,case_004,fno,2412
8.0,0.02714122491209477,0.025368868002662633,0.07908413,0.1369082625538063,0.11945433632396363,0.4630456,4.708697932892634,5.855101396449578,1000000.0,1.0,case_005,fno,4415
