best_AoA,best_CD,best_CL,best_L_over_D,best_m,best_min_cavitation_margin,best_objective,best_p,best_t,evaluations,message,model,start,success
4.077765180308388,0.021980077028274536,0.3918008804321289,17.82446237407523,2.0155432139290497e-07,98909.15625,17.82446237407523,0.4024022290698096,0.1192580467752798,89,Optimization terminated successfully.,unet,0012,True
3.058094272483991,0.02001793123781681,0.604049801826477,30.173928600413756,0.032490331824632714,98912.2578125,30.173928600413756,0.549837870428724,0.06,82,Maximum number of iterations has been exceeded.,unet,2412,False
3.8030150942818577,0.01970832049846649,0.5534422993659973,28.08023236564947,0.05376520283880911,98927.6171875,28.08023236564947,0.749602657985568,0.06315149883374038,73,Maximum number of iterations has been exceeded.,unet,4415,False
5.439089758138449,0.033240266144275665,0.7430224418640137,22.352410965307538,0.005090021109820901,98950.59375,22.352410965307538,0.20299862736497223,0.08768227559538105,70,Maximum number of iterations has been exceeded.,pinn,0012,False
1.155909975476626,0.022593094035983086,0.9839886426925659,43.55070139681092,0.07511384556649217,98914.6328125,43.55070139681092,0.3559397550703376,0.06,67,Maximum number of iterations has been exceeded.,pinn,2412,False
1.235482014717534,0.02021380141377449,0.8818259239196777,43.62278440780507,0.06667010069430845,98927.34375,43.62278440780507,0.3877405996825568,0.06015675602746698,66,Maximum number of iterations has been exceeded.,pinn,4415,False
4.832935020907467,0.04375365003943443,0.7077980637550354,16.176522109470042,0.0007035952981796069,98821.921875,16.176522109470042,0.1776771900977484,0.14184849614626005,91,Optimization terminated successfully.,fno,0012,True
4.452459455666717,0.037693582475185394,0.6950500011444092,18.43898925268546,0.018416694581426273,98874.3671875,18.43898925268546,0.3804634772608556,0.12247814343241406,78,Maximum number of iterations has been exceeded.,fno,2412,False
4.233127391150726,0.04019653797149658,0.848654568195343,21.112103154106357,0.0391205608174407,98851.6484375,21.112103154106357,0.3720136205275921,0.1682261607006627,80,Maximum number of iterations has been exceeded.,fno,4415,False
0.22609576174335322,0.011173449456691742,0.37579962611198425,33.63025870477576,0.017615541385725606,98962.46875,33.63025870477576,0.29219807233959216,0.06,65,Maximum number of iterations has been exceeded.,deeponet,0012,False
1.6032601436516858,0.015241961926221848,0.6095216274261475,39.98708586797768,0.033488535287752946,98940.0859375,39.98708586797768,0.3279173207217174,0.06039859859461669,65,Maximum number of iterations has been exceeded.,deeponet,2412,False
2.968133737872874,0.024886928498744965,0.9002842903137207,36.173532496250935,0.05911370009692818,98883.3671875,36.173532496250935,0.3291996971095963,0.08462209245462288,69,Maximum number of iterations has been exceeded.,deeponet,4415,False
