AoA,CD_integrated_pressure,CD_surrogate,CL_integrated_pressure,CL_over_abs_CD,CL_surrogate,Re,candidate_id,evaluation,family,force_source,m,min_Cp,min_cavitation_margin,model,note,objective,p,risky_cell_fraction,start,t
4.0,0.01165618515538416,0.02194724604487419,0.1401234103447903,17.665825137572728,0.3877338767051697,500000.0,continuous_1,1,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8729867339134216,98909.7734375,unet,surrogate estimate; validate top designs with OpenFOAM,17.665825137572728,0.4,0.0,0012,0.12
4.0,0.010706602917651867,0.023986078798770905,0.1533808822616857,17.655023156147077,0.423492431640625,500000.0,continuous_2,2,continuous_naca,direct OpenFOAM-coefficient surrogate,0.00025,-0.9610523581504822,98897.6171875,unet,surrogate estimate; validate top designs with OpenFOAM,17.655023156147077,0.4,0.0,0012,0.12
4.0,0.01165618515538416,0.02194724604487419,0.1401234103447903,17.665825137572728,0.3877338767051697,500000.0,continuous_3,3,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8729867339134216,98909.7734375,unet,surrogate estimate; validate top designs with OpenFOAM,17.665825137572728,0.42000000000000004,0.0,0012,0.12
4.0,0.007121535021504764,0.022743504494428635,0.10564231361074218,17.035942029579374,0.38747406005859375,500000.0,continuous_4,4,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8672803044319153,98910.7578125,unet,surrogate estimate; validate top designs with OpenFOAM,17.035942029579374,0.4,0.0,0012,0.126
4.2,0.01216458054135492,0.02272733859717846,0.1486845806834339,17.65878389307497,0.4013548195362091,500000.0,continuous_5,5,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.905375599861145,98905.2890625,unet,surrogate estimate; validate top designs with OpenFOAM,17.65878389307497,0.4,0.0,0012,0.12
4.1,0.013486565119129578,0.02461395598948002,0.1892758420084932,17.57997646240144,0.4327303469181061,500000.0,continuous_6,6,continuous_naca,direct OpenFOAM-coefficient surrogate,0.000125,-0.9505661129951477,98899.7109375,unet,surrogate estimate; validate top designs with OpenFOAM,17.57997646240144,0.41000000000000003,0.0,0012,0.11399999999999999
4.074999999999999,0.014192404722145936,0.024617306888103485,0.20103267946538625,17.567017675666907,0.4324702322483063,500000.0,continuous_7,7,continuous_naca,direct OpenFOAM-coefficient surrogate,9.375e-05,-0.9510464072227478,98899.6796875,unet,surrogate estimate; validate top designs with OpenFOAM,17.567017675666907,0.40750000000000003,0.0,0012,0.11699999999999999
4.0,0.01165618515538416,0.02194724604487419,0.1401234103447903,17.665825137572728,0.3877338767051697,500000.0,continuous_8,8,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8729867339134216,98909.7734375,unet,surrogate estimate; validate top designs with OpenFOAM,17.665825137572728,0.41000000000000003,0.0,0012,0.12
4.1,0.011905102714598692,0.022328179329633713,0.14437563617963664,17.666966854174834,0.3944888710975647,500000.0,continuous_9,9,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8890791535377502,98907.546875,unet,surrogate estimate; validate top designs with OpenFOAM,17.666966854174834,0.4,0.0,0012,0.12
4.0,0.011026571038579895,0.02397261932492256,0.1494450359001164,17.655595555090155,0.42326852679252625,500000.0,continuous_10,10,continuous_naca,direct OpenFOAM-coefficient surrogate,0.000125,-0.9605566263198853,98897.6875,unet,surrogate estimate; validate top designs with OpenFOAM,17.655595555090155,0.4,0.0,0012,0.12
4.0,0.008643087785095817,0.022388700395822525,0.12024742499190712,17.302626667059453,0.38740062713623047,500000.0,continuous_11,11,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8712646961212158,98910.140625,unet,surrogate estimate; validate top designs with OpenFOAM,17.302626667059453,0.4,0.0,0012,0.123
4.050000000000001,0.01481695331277984,0.024564944207668304,0.20513250946389922,17.586587398313256,0.43203112483024597,500000.0,continuous_12,12,continuous_naca,direct OpenFOAM-coefficient surrogate,6.25e-05,-0.9490285515785217,98899.921875,unet,surrogate estimate; validate top designs with OpenFOAM,17.586587398313256,0.4049999999999999,0.0,0012,0.11699999999999999
4.0375000000000005,0.01435118085870769,0.024510737508535385,0.20661131225162382,17.526082156387943,0.4295947253704071,500000.0,continuous_13,13,continuous_naca,direct OpenFOAM-coefficient surrogate,4.6875e-05,-0.9451956152915955,98900.453125,unet,surrogate estimate; validate top designs with OpenFOAM,17.526082156387943,0.40375,0.0,0012,0.1185
4.05,0.011780180718924357,0.022135090082883835,0.14224351805762064,17.66651351800912,0.3910675346851349,500000.0,continuous_14,14,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8810078501701355,98908.6640625,unet,surrogate estimate; validate top designs with OpenFOAM,17.66651351800912,0.4,0.0,0012,0.12
4.05,0.011780180718924357,0.022135090082883835,0.14224351805762064,17.66651351800912,0.3910675346851349,500000.0,continuous_15,15,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8810078501701355,98908.6640625,unet,surrogate estimate; validate top designs with OpenFOAM,17.66651351800912,0.405,0.0,0012,0.12
4.05,0.011655805754020705,0.02417350932955742,0.16201661678699592,17.587373719560073,0.42516613006591797,500000.0,continuous_16,16,continuous_naca,direct OpenFOAM-coefficient surrogate,6.25e-05,-0.9624836444854736,98897.390625,unet,surrogate estimate; validate top designs with OpenFOAM,17.587373719560073,0.4,0.0,0012,0.12
4.05,0.01033627701071732,0.022303303703665733,0.13479101872630248,17.511095236162237,0.39057278633117676,500000.0,continuous_17,17,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8804347515106201,98908.78125,unet,surrogate estimate; validate top designs with OpenFOAM,17.511095236162237,0.4,0.0,0012,0.1215
4.075,0.014537581186091138,0.02485402300953865,0.21020272267607412,17.478427790793653,0.4344267249107361,500000.0,continuous_18,18,continuous_naca,direct OpenFOAM-coefficient surrogate,3.125e-05,-0.9559373259544373,98898.96875,unet,surrogate estimate; validate top designs with OpenFOAM,17.478427790793653,0.40249999999999997,0.0,0012,0.1185
4.05625,0.011231393792335445,0.02222241461277008,0.138404516632461,17.59684675237891,0.39106202125549316,500000.0,continuous_19,19,continuous_naca,direct OpenFOAM-coefficient surrogate,7.8125e-06,-0.8842280507087708,98908.25,unet,surrogate estimate; validate top designs with OpenFOAM,17.59684675237891,0.400625,0.0,0012,0.12075
4.078125000000001,0.011257152157428186,0.022304367274045944,0.13925970057309564,17.595797737306004,0.392480731010437,500000.0,continuous_20,20,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8876697421073914,98907.7734375,unet,surrogate estimate; validate top designs with OpenFOAM,17.595797737306004,0.4028125,0.0,0012,0.12037500000000001
4.071093750000001,0.011233470239363427,0.022276703268289566,0.13894728626557365,17.595767369046218,0.39199328422546387,500000.0,continuous_21,21,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8865054845809937,98907.9375,unet,surrogate estimate; validate top designs with OpenFOAM,17.595767369046218,0.40210937500000005,0.0,0012,0.12028125
4.074999999999999,0.011842230497746303,0.02223087102174759,0.14330748474882735,17.666080574655076,0.3927500247955322,500000.0,continuous_22,22,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.885037362575531,98908.109375,unet,surrogate estimate; validate top designs with OpenFOAM,17.666080574655076,0.4,0.0,0012,0.12
4.074999999999999,0.011842230497746303,0.02223087102174759,0.14330748474882735,17.666080574655076,0.3927500247955322,500000.0,continuous_23,23,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.885037362575531,98908.109375,unet,surrogate estimate; validate top designs with OpenFOAM,17.666080574655076,0.4025,0.0,0012,0.12
4.078125,0.011256235786784528,0.022304367274045944,0.1392565437615937,17.59579640120057,0.3924807012081146,500000.0,continuous_24,24,continuous_naca,direct OpenFOAM-coefficient surrogate,3.90625e-06,-0.8876699209213257,98907.7734375,unet,surrogate estimate; validate top designs with OpenFOAM,17.59579640120057,0.4003125,0.0,0012,0.120375
4.074999999999999,0.011778256226974338,0.024334944784641266,0.16487499003774092,17.547861789000493,0.4270437955856323,500000.0,continuous_25,25,continuous_naca,direct OpenFOAM-coefficient surrogate,3.125e-05,-0.9666299223899841,98896.8125,unet,surrogate estimate; validate top designs with OpenFOAM,17.547861789000493,0.4,0.0,0012,0.12
4.089062500000001,0.01126889558216701,0.022345297038555145,0.1396789370408049,17.59452592254281,0.3931725025177002,500000.0,continuous_26,26,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.88939368724823,98907.5390625,unet,surrogate estimate; validate top designs with OpenFOAM,17.59452592254281,0.4014062500000001,0.0,0012,0.1201875
4.085546875,0.011421409731354469,0.02233140915632248,0.13542559076713717,17.595130510907744,0.3929416537284851,500000.0,continuous_27,27,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8888108134269714,98907.6171875,unet,surrogate estimate; validate top designs with OpenFOAM,17.595130510907744,0.4010546875,0.0,0012,0.120140625
4.078515625,0.011854251574991231,0.022244945168495178,0.14346364574782647,17.66681899438637,0.3930150866508484,500000.0,continuous_28,28,continuous_naca,direct OpenFOAM-coefficient surrogate,1.953125e-06,-0.8856173753738403,98908.0234375,unet,surrogate estimate; validate top designs with OpenFOAM,17.66681899438637,0.4003515625000001,0.0,0012,0.120046875
4.086132812499999,0.012686419594436591,0.02215554751455784,0.14890376554492135,17.738958223160374,0.39303407073020935,500000.0,continuous_29,29,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8817569613456726,98908.5390625,unet,surrogate estimate; validate top designs with OpenFOAM,17.738958223160374,0.4011132812500002,0.0,0012,0.1196484375
4.090136718749999,0.01305725186521321,0.02202650159597397,0.157353639906805,17.824099704748456,0.39262038469314575,500000.0,continuous_30,30,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8786402344703674,98908.890625,unet,surrogate estimate; validate top designs with OpenFOAM,17.824099704748456,0.4015136718750002,0.0,0012,0.11928515625
4.096826171875,0.01271729714896992,0.0221971794962883,0.14937227820134552,17.739082791037013,0.3937753438949585,500000.0,continuous_31,31,continuous_naca,direct OpenFOAM-coefficient surrogate,9.765625e-07,-0.8834604024887085,98908.296875,unet,surrogate estimate; validate top designs with OpenFOAM,17.739082791037013,0.39843261718750017,0.0,0012,0.11966601562500001
4.107739257812501,0.012734513742696256,0.0222372654825449,0.1498205496373169,17.739038331929564,0.3944854438304901,500000.0,continuous_32,32,continuous_naca,direct OpenFOAM-coefficient surrogate,1.46484375e-06,-0.8851524591445923,98908.0625,unet,surrogate estimate; validate top designs with OpenFOAM,17.739038331929564,0.40014892578125016,0.0,0012,0.11949902343750002
4.11883544921875,0.013542527159524049,0.022425010800361633,0.16775071451718643,17.74135809324537,0.397867888212204,500000.0,continuous_33,33,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8861042857170105,98908.1796875,unet,surrogate estimate; validate top designs with OpenFOAM,17.74135809324537,0.3996960449218751,0.0,0012,0.11917822265625
