seed,model,metric,value
27,fno,cavitation_precision,0.5194139194139195
27,fno,cavitation_recall,0.9049138481174218
27,fno,cavitation_f1,0.6599953455899464
27,pinn,cavitation_precision,0.943358395989975
27,pinn,cavitation_recall,0.8006807062327165
27,pinn,cavitation_f1,0.866183408123346
27,unet,cavitation_precision,0.7319819819819819
27,unet,cavitation_recall,0.4148053605615826
27,unet,cavitation_f1,0.5295315682281059
27,unet,inference_seconds,0.0092043750002631
27,unet,speedup_vs_openfoam,552.9978950069403
27,fno,inference_seconds,0.010835404200042831
27,fno,speedup_vs_openfoam,469.75635666456077
27,deeponet,inference_seconds,0.013260310400073649
27,deeponet,speedup_vs_openfoam,383.85225129961736
27,pinn,inference_seconds,0.005867466649942798
27,pinn,speedup_vs_openfoam,867.4953440169314
27,pinn,training_seconds,64.94976925000083
27,pinn,parameter_count,9930.0
27,deeponet,training_seconds,46.981437416994595
27,deeponet,parameter_count,100746.0
27,fno,training_seconds,207.12380245799432
27,fno,parameter_count,595914.0
27,unet,training_seconds,309.37813875000575
27,unet,parameter_count,485178.0
7,unet,p_mae,6.403288954707588
7,unet,p_rmse,12.231361585751243
7,unet,p_r2,0.924244932171413
7,unet,Cp_mae,0.03166269009632108
7,unet,Cp_rmse,0.050667925171411596
7,unet,Cp_r2,0.9127513114137703
7,pinn,p_mae,4.612831492287943
7,pinn,p_rmse,11.323248848015503
7,pinn,p_r2,0.9350761620826751
7,pinn,Cp_mae,0.021833222913129054
7,pinn,Cp_rmse,0.04364612172883994
7,pinn,Cp_r2,0.9352583168355257
7,fno,p_mae,13.960130128713939
7,fno,p_rmse,27.733577683098503
7,fno,p_r2,0.6105301195576625
7,fno,Cp_mae,0.036787307270648946
7,fno,Cp_rmse,0.059846689354698945
7,fno,Cp_r2,0.8782769212510529
7,deeponet,p_mae,4.322749680297507
7,deeponet,p_rmse,12.31009342449304
7,deeponet,p_r2,0.9232665404188901
7,deeponet,Cp_mae,0.022824592719613273
7,deeponet,Cp_rmse,0.04615901090478273
7,deeponet,Cp_r2,0.927588814903472
7,deeponet,Cl_mae,0.01786433052280665
7,deeponet,Cl_rmse,0.021303831115606915
7,deeponet,Cl_pearson_r,0.9993913964430212
7,deeponet,Cd_mae,0.0018738417910100526
7,deeponet,Cd_rmse,0.002394638152095162
7,deeponet,Cd_pearson_r,0.9896854132904955
