AoA,Re,U_inf,ambient_pressure_Pa,case,fn,fp,min_pred_margin_Pa,min_truth_margin_Pa,model,naca,pred_risky_fraction,tn,tp,truth_risky_fraction
-4.0,100000.0,0.09999999999999999,2500.0,case_161,0,0,195.72216796875,193.923583984375,unet,0018,0.0,7970,0,0.0
-4.0,100000.0,0.09999999999999999,3000.0,case_161,0,0,695.72216796875,693.923583984375,unet,0018,0.0,7970,0,0.0
-4.0,100000.0,0.09999999999999999,5000.0,case_161,0,0,2695.72216796875,2693.923828125,unet,0018,0.0,7970,0,0.0
-4.0,100000.0,0.09999999999999999,10000.0,case_161,0,0,7695.7216796875,7693.923828125,unet,0018,0.0,7970,0,0.0
-4.0,100000.0,0.09999999999999999,25000.0,case_161,0,0,22695.72265625,22693.923828125,unet,0018,0.0,7970,0,0.0
-4.0,100000.0,0.09999999999999999,101325.0,case_161,0,0,99020.71875,99018.921875,unet,0018,0.0,7970,0,0.0
-4.0,200000.0,0.19999999999999998,2500.0,case_162,0,0,182.88916015625,175.363525390625,unet,0018,0.0,7970,0,0.0
-4.0,200000.0,0.19999999999999998,3000.0,case_162,0,0,682.88916015625,675.363525390625,unet,0018,0.0,7970,0,0.0
-4.0,200000.0,0.19999999999999998,5000.0,case_162,0,0,2682.88916015625,2675.36376953125,unet,0018,0.0,7970,0,0.0
-4.0,200000.0,0.19999999999999998,10000.0,case_162,0,0,7682.888671875,7675.36328125,unet,0018,0.0,7970,0,0.0
-4.0,200000.0,0.19999999999999998,25000.0,case_162,0,0,22682.888671875,22675.36328125,unet,0018,0.0,7970,0,0.0
-4.0,200000.0,0.19999999999999998,101325.0,case_162,0,0,99007.890625,99000.3671875,unet,0018,0.0,7970,0,0.0
-4.0,500000.0,0.5,2500.0,case_163,0,0,93.0634765625,46.363525390625,unet,0018,0.0,7970,0,0.0
-4.0,500000.0,0.5,3000.0,case_163,0,0,593.0634765625,546.363525390625,unet,0018,0.0,7970,0,0.0
-4.0,500000.0,0.5,5000.0,case_163,0,0,2593.0634765625,2546.36376953125,unet,0018,0.0,7970,0,0.0
-4.0,500000.0,0.5,10000.0,case_163,0,0,7593.0634765625,7546.36328125,unet,0018,0.0,7970,0,0.0
-4.0,500000.0,0.5,25000.0,case_163,0,0,22593.0625,22546.36328125,unet,0018,0.0,7970,0,0.0
-4.0,500000.0,0.5,101325.0,case_163,0,0,98918.0625,98871.3671875,unet,0018,0.0,7970,0,0.0
-4.0,1000000.0,1.0,2500.0,case_164,202,107,-227.701416015625,-416.660400390625,unet,0018,0.013425345043914681,7661,0,0.02534504391468005
-4.0,1000000.0,1.0,3000.0,case_164,0,0,272.298583984375,83.339599609375,unet,0018,0.0,7970,0,0.0
-4.0,1000000.0,1.0,5000.0,case_164,0,0,2272.298828125,2083.33935546875,unet,0018,0.0,7970,0,0.0
-4.0,1000000.0,1.0,10000.0,case_164,0,0,7272.298828125,7083.33984375,unet,0018,0.0,7970,0,0.0
-4.0,1000000.0,1.0,25000.0,case_164,0,0,22272.298828125,22083.33984375,unet,0018,0.0,7970,0,0.0
-4.0,1000000.0,1.0,101325.0,case_164,0,0,98597.296875,98408.3359375,unet,0018,0.0,7970,0,0.0
-2.0,100000.0,0.09999999999999999,2500.0,case_165,0,0,195.721923828125,195.628173828125,unet,0018,0.0,7970,0,0.0
-2.0,100000.0,0.09999999999999999,3000.0,case_165,0,0,695.721923828125,695.628173828125,unet,0018,0.0,7970,0,0.0
-2.0,100000.0,0.09999999999999999,5000.0,case_165,0,0,2695.72216796875,2695.62841796875,unet,0018,0.0,7970,0,0.0
-2.0,100000.0,0.09999999999999999,10000.0,case_165,0,0,7695.7216796875,7695.6279296875,unet,0018,0.0,7970,0,0.0
-2.0,100000.0,0.09999999999999999,25000.0,case_165,0,0,22695.72265625,22695.62890625,unet,0018,0.0,7970,0,0.0
-2.0,100000.0,0.09999999999999999,101325.0,case_165,0,0,99020.71875,99020.625,unet,0018,0.0,7970,0,0.0
-2.0,200000.0,0.19999999999999998,2500.0,case_166,0,0,182.888427734375,182.422119140625,unet,0018,0.0,7970,0,0.0
-2.0,200000.0,0.19999999999999998,3000.0,case_166,0,0,682.888427734375,682.422119140625,unet,0018,0.0,7970,0,0.0
-2.0,200000.0,0.19999999999999998,5000.0,case_166,0,0,2682.88818359375,2682.42236328125,unet,0018,0.0,7970,0,0.0
-2.0,200000.0,0.19999999999999998,10000.0,case_166,0,0,7682.888671875,7682.421875,unet,0018,0.0,7970,0,0.0
-2.0,200000.0,0.19999999999999998,25000.0,case_166,0,0,22682.888671875,22682.421875,unet,0018,0.0,7970,0,0.0
-2.0,200000.0,0.19999999999999998,101325.0,case_166,0,0,99007.890625,99007.421875,unet,0018,0.0,7970,0,0.0
-2.0,500000.0,0.5,2500.0,case_167,0,0,93.058837890625,89.1865234375,unet,0018,0.0,7970,0,0.0
-2.0,500000.0,0.5,3000.0,case_167,0,0,593.058837890625,589.1865234375,unet,0018,0.0,7970,0,0.0
-2.0,500000.0,0.5,5000.0,case_167,0,0,2593.05908203125,2589.1865234375,unet,0018,0.0,7970,0,0.0
-2.0,500000.0,0.5,10000.0,case_167,0,0,7593.05859375,7589.1865234375,unet,0018,0.0,7970,0,0.0
-2.0,500000.0,0.5,25000.0,case_167,0,0,22593.05859375,22589.1875,unet,0018,0.0,7970,0,0.0
-2.0,500000.0,0.5,101325.0,case_167,0,0,98918.0625,98914.1875,unet,0018,0.0,7970,0,0.0
-2.0,1000000.0,1.0,2500.0,case_168,118,107,-227.71875,-244.521240234375,unet,0018,0.013425345043914681,7745,0,0.014805520702634882
-2.0,1000000.0,1.0,3000.0,case_168,0,0,272.28125,255.478759765625,unet,0018,0.0,7970,0,0.0
-2.0,1000000.0,1.0,5000.0,case_168,0,0,2272.28125,2255.47900390625,unet,0018,0.0,7970,0,0.0
-2.0,1000000.0,1.0,10000.0,case_168,0,0,7272.28125,7255.478515625,unet,0018,0.0,7970,0,0.0
-2.0,1000000.0,1.0,25000.0,case_168,0,0,22272.28125,22255.478515625,unet,0018,0.0,7970,0,0.0
-2.0,1000000.0,1.0,101325.0,case_168,0,0,98597.28125,98580.4765625,unet,0018,0.0,7970,0,0.0
0.0,100000.0,0.09999999999999999,2500.0,case_169,0,0,195.721923828125,196.777587890625,unet,0018,0.0,7970,0,0.0
0.0,100000.0,0.09999999999999999,3000.0,case_169,0,0,695.721923828125,696.777587890625,unet,0018,0.0,7970,0,0.0
0.0,100000.0,0.09999999999999999,5000.0,case_169,0,0,2695.7216796875,2696.77734375,unet,0018,0.0,7970,0,0.0
0.0,100000.0,0.09999999999999999,10000.0,case_169,0,0,7695.7216796875,7696.77734375,unet,0018,0.0,7970,0,0.0
0.0,100000.0,0.09999999999999999,25000.0,case_169,0,0,22695.72265625,22696.77734375,unet,0018,0.0,7970,0,0.0
0.0,100000.0,0.09999999999999999,101325.0,case_169,0,0,99020.71875,99021.78125,unet,0018,0.0,7970,0,0.0
0.0,200000.0,0.19999999999999998,2500.0,case_170,0,0,182.8876953125,187.0283203125,unet,0018,0.0,7970,0,0.0
0.0,200000.0,0.19999999999999998,3000.0,case_170,0,0,682.8876953125,687.0283203125,unet,0018,0.0,7970,0,0.0
0.0,200000.0,0.19999999999999998,5000.0,case_170,0,0,2682.8876953125,2687.0283203125,unet,0018,0.0,7970,0,0.0
0.0,200000.0,0.19999999999999998,10000.0,case_170,0,0,7682.8876953125,7687.0283203125,unet,0018,0.0,7970,0,0.0
0.0,200000.0,0.19999999999999998,25000.0,case_170,0,0,22682.88671875,22687.029296875,unet,0018,0.0,7970,0,0.0
0.0,200000.0,0.19999999999999998,101325.0,case_170,0,0,99007.890625,99012.03125,unet,0018,0.0,7970,0,0.0
0.0,500000.0,0.5,2500.0,case_171,0,0,93.054443359375,118.266845703125,unet,0018,0.0,7970,0,0.0
0.0,500000.0,0.5,3000.0,case_171,0,0,593.054443359375,618.266845703125,unet,0018,0.0,7970,0,0.0
0.0,500000.0,0.5,5000.0,case_171,0,0,2593.0546875,2618.2666015625,unet,0018,0.0,7970,0,0.0
0.0,500000.0,0.5,10000.0,case_171,0,0,7593.0546875,7618.2666015625,unet,0018,0.0,7970,0,0.0
0.0,500000.0,0.5,25000.0,case_171,0,0,22593.0546875,22618.267578125,unet,0018,0.0,7970,0,0.0
0.0,500000.0,0.5,101325.0,case_171,0,0,98918.0546875,98943.265625,unet,0018,0.0,7970,0,0.0
0.0,1000000.0,1.0,2500.0,case_172,49,87,-227.736328125,-127.8173828125,unet,0018,0.013425345043914681,7814,20,0.008657465495608531
0.0,1000000.0,1.0,3000.0,case_172,0,0,272.263671875,372.1826171875,unet,0018,0.0,7970,0,0.0
0.0,1000000.0,1.0,5000.0,case_172,0,0,2272.263671875,2372.1826171875,unet,0018,0.0,7970,0,0.0
0.0,1000000.0,1.0,10000.0,case_172,0,0,7272.263671875,7372.1826171875,unet,0018,0.0,7970,0,0.0
0.0,1000000.0,1.0,25000.0,case_172,0,0,22272.263671875,22372.18359375,unet,0018,0.0,7970,0,0.0
