id,naca,AoA,Re,U_inf,rho,nu,p_inf,p_vap,source
case_068,0010,-4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_069,0010,-2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_070,0010,-2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_071,0010,-2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_072,0010,-2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_073,0010,0.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_074,0010,0.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_075,0010,0.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_076,0010,0.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_077,0010,2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_078,0010,2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_079,0010,2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_080,0010,2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_081,0010,4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_082,0010,4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_083,0010,4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_084,0010,4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_085,0010,6.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_086,0010,6.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_087,0010,6.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_088,0010,6.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_089,0010,8.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_090,0010,8.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_091,0010,8.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_092,0010,8.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_093,0010,10.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_094,0010,10.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_095,0010,10.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_096,0010,10.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_097,0012,-4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_098,0012,-4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_099,0012,-4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_100,0012,-4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_101,0012,-2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_102,0012,-2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_103,0012,-2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_104,0012,-2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_105,0012,0.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_106,0012,0.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_107,0012,0.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_108,0012,0.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_109,0012,2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_110,0012,2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_111,0012,2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_112,0012,2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_113,0012,4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_114,0012,4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_115,0012,4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_116,0012,4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_117,0012,6.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_118,0012,6.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_119,0012,6.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_120,0012,6.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_121,0012,8.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_122,0012,8.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_123,0012,8.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_124,0012,8.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_125,0012,10.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_126,0012,10.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_127,0012,10.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_128,0012,10.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_129,0015,-4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_130,0015,-4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_131,0015,-4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_132,0015,-4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_133,0015,-2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_134,0015,-2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_135,0015,-2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_136,0015,-2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_137,0015,0.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_138,0015,0.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_139,0015,0.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_140,0015,0.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_141,0015,2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_142,0015,2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_143,0015,2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_144,0015,2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_145,0015,4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_146,0015,4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
