id,naca,AoA,Re,U_inf,rho,nu,p_inf,p_vap,source
case_294,4415,-2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_295,4415,-2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_296,4415,-2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_297,4415,0.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_298,4415,0.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_299,4415,0.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_300,4415,0.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_301,4415,2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_302,4415,2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_303,4415,2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_304,4415,2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_305,4415,4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_306,4415,4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_307,4415,4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_308,4415,4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_309,4415,6.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_310,4415,6.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_311,4415,6.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_312,4415,6.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_313,4415,8.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_314,4415,8.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_315,4415,8.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_316,4415,8.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_317,4415,10.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_318,4415,10.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_319,4415,10.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_320,4415,10.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_321,4418,-4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_322,4418,-4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_323,4418,-4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_324,4418,-4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_325,4418,-2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_326,4418,-2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_327,4418,-2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_328,4418,-2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_329,4418,0.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_330,4418,0.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_331,4418,0.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_332,4418,0.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_333,4418,2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_334,4418,2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_335,4418,2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_336,4418,2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_337,4418,4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_338,4418,4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_339,4418,4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_340,4418,4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_341,4418,6.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_342,4418,6.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_343,4418,6.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_344,4418,6.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_345,4418,8.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_346,4418,8.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_347,4418,8.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_348,4418,8.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_349,4418,10.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_350,4418,10.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_351,4418,10.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_352,4418,10.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_353,4421,-4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_354,4421,-4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_355,4421,-4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_356,4421,-4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_357,4421,-2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_358,4421,-2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_359,4421,-2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_360,4421,-2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_361,4421,0.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_362,4421,0.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_363,4421,0.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_364,4421,0.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_365,4421,2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_366,4421,2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_367,4421,2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_368,4421,2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_369,4421,4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_370,4421,4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_371,4421,4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_372,4421,4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_373,4421,6.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_374,4421,6.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_375,4421,6.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_376,4421,6.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_377,4421,8.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_378,4421,8.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_379,4421,8.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_380,4421,8.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_381,4421,10.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_382,4421,10.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_383,4421,10.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_384,4421,10.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
