AoA,CD_integrated_pressure,CD_surrogate,CL_integrated_pressure,CL_over_abs_CD,CL_surrogate,Re,candidate_id,evaluation,family,force_source,m,min_Cp,min_cavitation_margin,model,note,objective,p,risky_cell_fraction,start,t
4.0,0.01645864828983541,0.021303117275238037,0.2341074029333499,17.41401914690911,0.3709903061389923,500000.0,continuous_1,1,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8571822047233582,98872.4296875,unet,surrogate estimate; validate top designs with OpenFOAM,17.41401914690911,0.4,0.0,0012,0.12
4.0,0.013439984496086688,0.021182235330343246,0.20544026814653465,17.2860806858891,0.36617511510849,500000.0,continuous_2,2,continuous_naca,direct OpenFOAM-coefficient surrogate,0.00025,-0.8575694561004639,98879.890625,unet,surrogate estimate; validate top designs with OpenFOAM,17.2860806858891,0.4,0.0,0012,0.12
4.0,0.01645864828983541,0.021303117275238037,0.2341074029333499,17.41401914690911,0.3709903061389923,500000.0,continuous_3,3,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8571822047233582,98872.4296875,unet,surrogate estimate; validate top designs with OpenFOAM,17.41401914690911,0.42000000000000004,0.0,0012,0.12
4.0,0.01096030699966722,0.021690355613827705,0.18936913681451473,18.542294033741538,0.40220749378204346,500000.0,continuous_4,4,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8695938587188721,98868.7109375,unet,surrogate estimate; validate top designs with OpenFOAM,18.542294033741538,0.4,0.0,0012,0.126
4.2,0.01740561881045573,0.022038638591766357,0.24134104929131484,17.584818742809627,0.3875630497932434,500000.0,continuous_5,5,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8824957609176636,98869.40625,unet,surrogate estimate; validate top designs with OpenFOAM,17.584818742809627,0.4,0.0,0012,0.12
4.1,0.013763832947447542,0.021842272952198982,0.21435574356122264,18.232412225647273,0.3982555568218231,500000.0,continuous_6,6,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8830337524414062,98867.1015625,unet,surrogate estimate; validate top designs with OpenFOAM,18.232412225647273,0.41000000000000003,0.0,0012,0.123
4.15,0.013516911059665881,0.0220550075173378,0.20166459002213175,18.433509763179558,0.40656962990760803,500000.0,continuous_7,7,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8935396075248718,98865.9921875,unet,surrogate estimate; validate top designs with OpenFOAM,18.433509763179558,0.3849999999999999,0.0,0012,0.1245
4.225,0.01168073324814201,0.02250426635146141,0.20225592413991447,18.737219382134708,0.4216861128807068,500000.0,continuous_8,8,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8983067274093628,98864.7109375,unet,surrogate estimate; validate top designs with OpenFOAM,18.737219382134708,0.39749999999999985,0.0,0012,0.12675
4.337499999999999,0.010188620669398593,0.023258289322257042,0.18529910825291682,19.520338569707615,0.4540292024612427,500000.0,continuous_9,9,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.9150645732879639,98851.8125,unet,surrogate estimate; validate top designs with OpenFOAM,19.520338569707615,0.39624999999999977,0.0,0012,0.130125
4.093749999999999,0.009757268829132129,0.02235337719321251,0.1838035457089415,19.35080642557206,0.4325752258300781,500000.0,continuous_10,10,continuous_naca,direct OpenFOAM-coefficient surrogate,0.0,-0.8919885158538818,98856.859375,unet,surrogate estimate; validate top designs with OpenFOAM,19.35080642557206,0.3956249999999998,0.0,0012,0.1318125
