best_AoA,best_CD,best_CL,best_L_over_D,best_m,best_min_cavitation_margin,best_objective,best_p,best_t,cavitation_mode,evaluations,message,model,start,success
4.876039992509786,0.028677117079496384,0.6730934381484985,23.470628712570928,0.0,98810.9453125,23.470628712570928,0.25425370857318513,0.1985865049748498,diagnostic,82,Maximum number of iterations has been exceeded.,unet,0012,False
4.045793878541127,0.026147350668907166,0.5923566818237305,22.65369197943708,0.019983033795048493,98881.90625,22.65369197943708,0.3966034949795843,0.1259554722143184,diagnostic,86,Maximum number of iterations has been exceeded.,unet,2412,False
3.904897618110479,0.03088219091296196,0.7975425124168396,25.824485386388737,0.038504836796513016,98860.171875,25.824485386388737,0.3897480761962274,0.1756754489415107,diagnostic,82,Maximum number of iterations has been exceeded.,unet,4415,False
3.976576882655179,0.02362252026796341,0.5142064690589905,21.766716527693877,0.013024467354691337,98953.75,21.766716527693877,0.43106766477332115,0.0677879575992579,diagnostic,63,Maximum number of iterations has been exceeded.,pinn,0012,False
1.4195888816779285,0.026726145297288895,0.8891081809997559,33.26611095611261,0.09,98829.578125,33.26611095611261,0.29262896514275033,0.06,diagnostic,72,Maximum number of iterations has been exceeded.,pinn,2412,False
-0.16315415234718578,0.024880988523364067,0.8130505681037903,32.676269717765514,0.08981055068633409,98965.15625,32.676269717765514,0.4226334510696317,0.06016073677931785,diagnostic,71,Maximum number of iterations has been exceeded.,pinn,4415,False
4.974892120310503,0.04027498885989189,0.7480289340019226,18.572577736181508,0.0003401802577934629,98873.765625,18.572577736181508,0.15683720571454635,0.15144492454839373,diagnostic,86,Maximum number of iterations has been exceeded.,fno,0012,False
4.900861894320907,0.03521455079317093,0.6608757972717285,18.76658982712509,0.019494250520559607,98903.8203125,18.76658982712509,0.38073098028067576,0.12020565790577761,diagnostic,81,Maximum number of iterations has been exceeded.,fno,2412,False
4.974734163687396,0.04059617593884468,0.8444067239761353,20.799641956577076,0.03941523428852228,98850.1875,20.799641956577076,0.355478017022703,0.16958762217936418,diagnostic,72,Maximum number of iterations has been exceeded.,fno,4415,False
3.919755923668398,0.01842668280005455,0.366822212934494,19.906041194360483,0.0,98966.5546875,19.906041194360483,0.4718949745311181,0.08107811821794086,diagnostic,75,Maximum number of iterations has been exceeded.,deeponet,0012,False
-0.5468467946979393,0.014575555920600891,0.8882574439048767,60.93740172529452,0.09,98887.828125,60.93740172529452,0.35191207102019567,0.06024353803211475,diagnostic,66,Maximum number of iterations has been exceeded.,deeponet,2412,False
1.2745149463618883,0.017156029120087624,1.0263442993164062,59.82063049101851,0.08929402843942626,98871.84375,59.82063049101851,0.35599437846993953,0.06214305629633381,diagnostic,62,Maximum number of iterations has been exceeded.,deeponet,4415,False
