AoA,Re,U_inf,ambient_pressure_Pa,case,fn,fp,min_pred_margin_Pa,min_truth_margin_Pa,model,naca,pred_risky_fraction,tn,tp,truth_risky_fraction
-4.0,100000.0,0.09999999999999999,2500.0,case_161,0,0,197.46435546875,193.923583984375,unet,0018,0.0,7970,0,0.0
-4.0,100000.0,0.09999999999999999,3000.0,case_161,0,0,697.46435546875,693.923583984375,unet,0018,0.0,7970,0,0.0
-4.0,100000.0,0.09999999999999999,5000.0,case_161,0,0,2697.46435546875,2693.923828125,unet,0018,0.0,7970,0,0.0
-4.0,100000.0,0.09999999999999999,10000.0,case_161,0,0,7697.4638671875,7693.923828125,unet,0018,0.0,7970,0,0.0
-4.0,100000.0,0.09999999999999999,25000.0,case_161,0,0,22697.46484375,22693.923828125,unet,0018,0.0,7970,0,0.0
-4.0,100000.0,0.09999999999999999,101325.0,case_161,0,0,99022.4609375,99018.921875,unet,0018,0.0,7970,0,0.0
-4.0,200000.0,0.19999999999999998,2500.0,case_162,0,0,189.455810546875,175.363525390625,unet,0018,0.0,7970,0,0.0
-4.0,200000.0,0.19999999999999998,3000.0,case_162,0,0,689.455810546875,675.363525390625,unet,0018,0.0,7970,0,0.0
-4.0,200000.0,0.19999999999999998,5000.0,case_162,0,0,2689.45556640625,2675.36376953125,unet,0018,0.0,7970,0,0.0
-4.0,200000.0,0.19999999999999998,10000.0,case_162,0,0,7689.4560546875,7675.36328125,unet,0018,0.0,7970,0,0.0
-4.0,200000.0,0.19999999999999998,25000.0,case_162,0,0,22689.455078125,22675.36328125,unet,0018,0.0,7970,0,0.0
-4.0,200000.0,0.19999999999999998,101325.0,case_162,0,0,99014.453125,99000.3671875,unet,0018,0.0,7970,0,0.0
-4.0,500000.0,0.5,2500.0,case_163,0,0,123.240234375,46.363525390625,unet,0018,0.0,7970,0,0.0
-4.0,500000.0,0.5,3000.0,case_163,0,0,623.240234375,546.363525390625,unet,0018,0.0,7970,0,0.0
-4.0,500000.0,0.5,5000.0,case_163,0,0,2623.240234375,2546.36376953125,unet,0018,0.0,7970,0,0.0
-4.0,500000.0,0.5,10000.0,case_163,0,0,7623.240234375,7546.36328125,unet,0018,0.0,7970,0,0.0
-4.0,500000.0,0.5,25000.0,case_163,0,0,22623.240234375,22546.36328125,unet,0018,0.0,7970,0,0.0
-4.0,500000.0,0.5,101325.0,case_163,0,0,98948.2421875,98871.3671875,unet,0018,0.0,7970,0,0.0
-4.0,1000000.0,1.0,2500.0,case_164,146,24,-281.781982421875,-416.660400390625,unet,0018,0.010037641154328732,7744,56,0.02534504391468005
-4.0,1000000.0,1.0,3000.0,case_164,0,0,218.218017578125,83.339599609375,unet,0018,0.0,7970,0,0.0
-4.0,1000000.0,1.0,5000.0,case_164,0,0,2218.21826171875,2083.33935546875,unet,0018,0.0,7970,0,0.0
-4.0,1000000.0,1.0,10000.0,case_164,0,0,7218.2177734375,7083.33984375,unet,0018,0.0,7970,0,0.0
-4.0,1000000.0,1.0,25000.0,case_164,0,0,22218.21875,22083.33984375,unet,0018,0.0,7970,0,0.0
-4.0,1000000.0,1.0,101325.0,case_164,0,0,98543.21875,98408.3359375,unet,0018,0.0,7970,0,0.0
-2.0,100000.0,0.09999999999999999,2500.0,case_165,0,0,197.20654296875,195.628173828125,unet,0018,0.0,7970,0,0.0
-2.0,100000.0,0.09999999999999999,3000.0,case_165,0,0,697.20654296875,695.628173828125,unet,0018,0.0,7970,0,0.0
-2.0,100000.0,0.09999999999999999,5000.0,case_165,0,0,2697.20654296875,2695.62841796875,unet,0018,0.0,7970,0,0.0
-2.0,100000.0,0.09999999999999999,10000.0,case_165,0,0,7697.20703125,7695.6279296875,unet,0018,0.0,7970,0,0.0
-2.0,100000.0,0.09999999999999999,25000.0,case_165,0,0,22697.20703125,22695.62890625,unet,0018,0.0,7970,0,0.0
-2.0,100000.0,0.09999999999999999,101325.0,case_165,0,0,99022.203125,99020.625,unet,0018,0.0,7970,0,0.0
-2.0,200000.0,0.19999999999999998,2500.0,case_166,0,0,188.245849609375,182.422119140625,unet,0018,0.0,7970,0,0.0
-2.0,200000.0,0.19999999999999998,3000.0,case_166,0,0,688.245849609375,682.422119140625,unet,0018,0.0,7970,0,0.0
-2.0,200000.0,0.19999999999999998,5000.0,case_166,0,0,2688.24609375,2682.42236328125,unet,0018,0.0,7970,0,0.0
-2.0,200000.0,0.19999999999999998,10000.0,case_166,0,0,7688.24609375,7682.421875,unet,0018,0.0,7970,0,0.0
-2.0,200000.0,0.19999999999999998,25000.0,case_166,0,0,22688.24609375,22682.421875,unet,0018,0.0,7970,0,0.0
-2.0,200000.0,0.19999999999999998,101325.0,case_166,0,0,99013.2421875,99007.421875,unet,0018,0.0,7970,0,0.0
-2.0,500000.0,0.5,2500.0,case_167,0,0,113.048095703125,89.1865234375,unet,0018,0.0,7970,0,0.0
-2.0,500000.0,0.5,3000.0,case_167,0,0,613.048095703125,589.1865234375,unet,0018,0.0,7970,0,0.0
-2.0,500000.0,0.5,5000.0,case_167,0,0,2613.04833984375,2589.1865234375,unet,0018,0.0,7970,0,0.0
-2.0,500000.0,0.5,10000.0,case_167,0,0,7613.0478515625,7589.1865234375,unet,0018,0.0,7970,0,0.0
-2.0,500000.0,0.5,25000.0,case_167,0,0,22613.048828125,22589.1875,unet,0018,0.0,7970,0,0.0
