model,epoch,train_loss,val_loss
pinn,1,6.946392138311468,3.6064631640911102
pinn,2,5.175901106530172,3.2021911473109803
pinn,3,4.914314579378607,3.1023309878234206
pinn,4,4.790658177773645,2.9968374299591987
pinn,5,4.68530099742983,3.0212468869727234
pinn,6,4.598148315230762,3.006477494178147
pinn,7,4.528028137844764,2.952193665093389
pinn,8,4.359234415680353,2.9964082682954856
pinn,9,4.3575302318561295,3.255422044416954
pinn,10,4.257653763689146,2.717323046306084
pinn,11,4.251463226745465,3.6224237762648483
pinn,12,4.145923572083924,2.7906765146502135
pinn,13,4.1659495932924235,3.150662152931608
pinn,14,4.141782754769355,3.0903603167369447
pinn,15,4.051872341179409,2.8117315625322274
pinn,16,4.047636827808216,2.942944803114595
pinn,17,3.9829944708595977,2.891951582555113
pinn,18,3.886722351875773,2.836875642681944
pinn,19,3.8900648604141423,3.105601390887951
pinn,20,3.930042758309768,2.9118227660655975
pinn,21,3.772836121313411,2.878290059751478
pinn,22,3.8140712925261515,3.3231864556156356
pinn,23,4.023805603659226,3.367451600987336
pinn,24,3.7974679645585137,2.9751133702952286
pinn,25,3.7805246129357744,2.917267179694669
pinn,26,3.8849656172325275,2.9495224397757958
pinn,27,3.689787206474257,2.7914432595516074
pinn,28,3.7166491103318573,3.067096790876882
pinn,29,3.73069858770429,2.7257784122023088
pinn,30,3.7620204277565144,3.103759246653524
pinn,31,3.642042513273976,2.924360607204766
pinn,32,3.739010612657465,3.052108830932913
pinn,33,3.6172909524543155,3.2621015454160758
pinn,34,3.5989329778343624,2.675474259360083
pinn,35,3.566284021716908,3.3148876752319008
pinn,36,3.7991465512960234,2.359027742311872
pinn,37,3.5504502372507667,3.5779503768888015
pinn,38,3.490406446661686,2.6092858396727463
pinn,39,3.4570491855129872,2.963956291819441
pinn,40,3.564945923770132,2.6090261997847723
pinn,41,3.453271133036701,3.59682021880972
pinn,42,3.5227318775434435,2.7464576671863425
pinn,43,3.4433539045368966,2.549817542577612
pinn,44,3.5682425747619817,3.135359696786979
pinn,45,3.3898868224372163,3.2526884798345894
pinn,46,3.4814842661465604,2.9450618521920564
pinn,47,3.4632524559102906,3.05487921833992
pinn,48,3.3272842395525037,2.8442422131012224
pinn,49,3.2830805705368884,2.5456484468846488
pinn,50,3.4046859865539645,2.6615337523920783
pinn,51,3.2680278285149416,2.7248181741813133
pinn,52,3.4095524746947494,2.3906587670589317
pinn,53,3.422294572818499,2.530828374727019
pinn,54,3.2321997668845523,3.3110783274831443
pinn,55,3.2102347853724944,3.342525618857351
pinn,56,3.2913175280108775,2.99334382805331
pinn,57,3.299820047946064,2.7859380645998595
pinn,58,3.402239469662766,2.815153650168715
pinn,59,3.0619209478237877,2.787966926550043
pinn,60,3.0441683377224975,2.8549772511268485
pinn,61,3.1316709035744696,2.3329435026851195
pinn,62,3.1215490190529382,2.8281341354394782
pinn,63,3.408257361570019,3.681026713601474
pinn,64,3.148793433341512,3.230507052150266
pinn,65,3.266877812110573,2.092370466425501
pinn,66,3.040092280305968,2.4598176859576126
pinn,67,3.0657123583226116,3.1337410406819703
pinn,68,3.1378092568344864,2.901484972444074
pinn,69,3.019684875669655,2.624087165141928
pinn,70,3.058429853316465,2.7938772378296686
pinn,71,3.2102014908761336,2.5500119631660394
pinn,72,3.0811044935799816,2.3299404834878854
pinn,73,2.98714294389713,2.1823856373285424
pinn,74,3.0684060933399784,2.209832719173925
pinn,75,3.149343206838596,3.9771730910087455
pinn,76,3.1496516904947947,2.109908810977278
pinn,77,2.9477756820573395,2.7034353048636994
pinn,78,2.977376614611573,2.8889747529194274
pinn,79,3.0548593588401936,2.6755014036236138
pinn,80,2.901248509167162,2.7126456581313034
pinn,81,2.938965750618215,2.349312279758782
pinn,82,2.906723506611549,2.7095389093818336
pinn,83,3.0001352242896893,3.0090865965547233
pinn,84,2.9080658463612656,2.495926132489895
pinn,85,2.8500234824748127,2.288041123028459
pinn,86,3.1427764300188405,2.6096150715803277
pinn,87,2.9985134901444606,2.267170278676625
pinn,88,2.965901076427998,1.9482938272172008
pinn,89,2.9991798005952424,3.3928807275048616
pinn,90,3.0123537873929265,3.88159001901232
pinn,91,3.0076518212359376,2.118326872587204
pinn,92,3.092607621766307,2.202824348005755
pinn,93,2.751193483182989,2.4271714625687433
pinn,94,3.0296277875549222,2.357725084855639
pinn,95,2.9719950194739124,2.9618547420049537
pinn,96,3.187472121847188,2.2400411763067902
pinn,97,2.875733049369297,2.400619625531394
pinn,98,2.996630671565518,2.951513551432511
pinn,99,2.718902609830985,3.4844159596952897
pinn,100,3.1594987427530112,2.1267073611760963
pinn,101,2.9392191778662746,2.3086209194413545
pinn,102,3.0736142784539906,2.2756453449356147
pinn,103,2.7332409144910566,1.9291372401960964
pinn,104,2.935350758166401,2.1282678513691344
pinn,105,2.8921526056125852,3.457941053756352
pinn,106,3.1701086357327326,2.7004278816025833
pinn,107,2.9746525792256455,2.2207651528818855
pinn,108,2.843777827689984,2.4169997937720398
pinn,109,3.0128257318508407,2.7003504058410384
pinn,110,3.162537095736872,2.45848257891063
pinn,111,2.9680266607027113,2.3735300384718796
pinn,112,2.7204163813152196,2.655669152222831
pinn,113,2.7734665724397436,2.05461452181997
pinn,114,2.9395248085443226,2.0203284323215485
pinn,115,2.9885960963606104,2.199994065638246
pinn,116,2.679294069120489,3.248970360591494
pinn,117,2.7749763193306016,2.1947649820097563
pinn,118,2.845942669850917,2.068832892796089
pinn,119,2.8323144188687843,2.1688961705257155
pinn,120,2.885708304270645,2.3801294765595733
pinn,121,2.771939120409679,2.063467270855246
pinn,122,2.784009384962679,2.2726022313381065
pinn,123,2.7874067458638385,3.4049192949615676
pinn,124,2.883255122629411,3.7967314211458993
pinn,125,2.707692243570199,2.1900093935686966
pinn,126,2.7558236429296388,2.9850926640732536
pinn,127,2.7938123575748843,2.4376367536084405
pinn,128,2.9616641186497694,2.2035039714698135
pinn,129,2.8511649765119964,2.147369711563505
pinn,130,2.925206702179704,2.0722676808464118
pinn,131,2.720783104925799,2.6372631685487153
pinn,132,2.8255376757288273,1.8645005082261974
pinn,133,2.8271401886559704,2.6306265572021745
pinn,134,2.741145463808914,3.0030818910434327
pinn,135,2.684481662475258,1.8493939165411324
pinn,136,2.7575759368440127,2.1565211733867384
pinn,137,2.784754558574934,2.3556349657732865
pinn,138,2.781938772260046,2.464145195895228
pinn,139,2.501091906629457,2.0356425257592368
pinn,140,2.978291646103186,3.15628477828256
pinn,141,2.883264654253158,2.1762666753653823
pinn,142,2.9028128093005687,2.073882982134819
pinn,143,2.907348362214726,2.6402816793014265
pinn,144,2.6148361245547336,2.0622111152986
pinn,145,2.9727495601572143,3.8854392869719145
pinn,146,2.7880517492996404,1.84529544618623
pinn,147,2.963846793935343,3.2054110842532126
pinn,148,2.5472895067893653,2.5558344557367523
pinn,149,2.5203453485219756,2.0702133666852425
pinn,150,2.5558472089240887,2.0432626800290468
pinn,151,2.613225171171083,1.9058784852767814
pinn,152,2.5994967522065333,2.051847507213724
pinn,153,2.7488820677154635,2.6026311614390076
pinn,154,2.7106746742330445,1.9302640624087433
pinn,155,3.0316060986255575,2.10251420428013
pinn,156,2.6648063593846887,2.714377246026335
pinn,157,2.766509548286719,2.2971009504178475
pinn,158,2.8588773472908815,3.463534572001161
pinn,159,2.5083769347770084,1.8994673603567584
pinn,160,2.690409698369313,2.4224046735927978
pinn,161,2.7307913793376617,1.9662141429966893
pinn,162,2.6748707126254683,1.864391103386879
pinn,163,2.6802786764191704,1.9993209576812283
pinn,164,2.7619704337207818,2.1181298309359056
pinn,165,2.755686269216011,1.9794961183235562
pinn,166,2.884050410949379,1.7308904446404556
pinn,167,2.702802157840846,1.93011071661423
pinn,168,2.894072148697508,2.0960385218776505
pinn,169,2.706371343208968,2.53605656634117
pinn,170,2.597034154494116,1.9329460273528922
pinn,171,2.733110097288354,2.0387897866553275
pinn,172,2.442505416694594,1.8573684723212802
pinn,173,2.8501724165641455,2.2552865764190413
pinn,174,2.746692528022579,2.0799743892817664
pinn,175,2.507494396227269,2.528694695439832
pinn,176,2.5918854365319564,1.9105564489446838
pinn,177,2.5473958561025514,1.7434843084935485
pinn,178,2.870149422276971,2.771727666772645
pinn,179,2.6736684181938872,1.9401390742639015
pinn,180,2.8141970085951447,2.0864769482407075
pinn,181,3.030250605629997,2.4703482081150185
pinn,182,2.737542877899357,3.1038662041055747
pinn,183,2.838210527150909,2.999997815181469
pinn,184,2.877310557599448,3.0029702124924493
pinn,185,2.9602848145128027,2.4215880519357222
pinn,186,2.715373309112034,1.9870458892707168
pinn,187,2.6096593273197946,2.515915846002513
pinn,188,2.5866497681916125,2.057057896564747
pinn,189,2.6104497551186685,2.0085269305212745
