seed,model,start,m,p,t,AoA,predicted_Cl,predicted_Cd,predicted_L_over_D,openfoam_Cl,openfoam_Cd,openfoam_L_over_D
17,deeponet,4415,0.08991712754255227,0.4466828030039163,0.08165459697144185,1.5006266414953147,1.0237786769866943,0.02341708540916443,43.717437147361714,1.158377,0.02729895,42.43302398077582
17,fno,4415,0.05270411057295511,0.11912330207438308,0.18922746596475465,7.023023246240491,1.1854922771453857,0.05573640391230583,21.26924101112736,1.137488,0.05710815,19.91813777893348
17,pinn,4415,0.07442655926902769,0.4120110672353069,0.06,-0.38171803811472865,0.7098268866539001,0.01674591191112995,42.385538923277615,0.7536853,0.01898313,39.702899363803546
17,unet,4415,0.04725410691411354,0.30444685204676825,0.1613573696603981,3.921843684496215,0.8022903203964233,0.03447577357292175,23.270458260820163,0.8610455,0.03320827,25.92864668951439
27,deeponet,4415,0.08875046756742667,0.28239750819519227,0.06,2.182660017230464,1.0685744285583496,0.021988771855831146,48.59415711832362,1.089196,0.02785806,39.09805636142646
27,fno,2412,0.05221061887222338,0.23727851155946345,0.1971794540480262,10.0,1.3553533554077148,0.06545396149158478,20.706655760266024,1.414739,0.06970449,20.296239166228748
27,pinn,4415,0.08455470769324185,0.39431911687575993,0.0636692567906563,-0.5394714798386289,0.7145926356315613,0.017514223232865334,40.798374427264456,0.8338324,0.02272978,36.684578557293555
27,unet,4415,0.0495004657859113,0.15825620820101566,0.16210634236838528,4.193498798676729,0.6184628009796143,0.03830600529909134,16.144900812548887,0.8594149,0.0356456,24.109985524160063
7,deeponet,2412,0.09,0.35191207102019567,0.06024353803211475,-0.5468467946979393,0.8882574439048767,0.014575555920600891,60.93740172529452,0.8344258,0.02703074,30.869513746201545
7,fno,4415,0.03941523428852228,0.355478017022703,0.16958762217936418,4.974734163687396,0.8444067239761353,0.04059617593884468,20.799641956577076,0.8843317,0.03389427,26.090890879195808
7,pinn,2412,0.09,0.29262896514275033,0.06,1.4195888816779285,0.8891081809997559,0.026726145297288895,33.26611095611261,1.020194,0.02735088,37.30022580626291
7,unet,4415,0.038504836796513016,0.3897480761962274,0.1756754489415107,3.904897618110479,0.7975425124168396,0.03088219091296196,25.824485386388737,0.7809013,0.03352307,23.294444691372238
