model,n_seeds,predicted_L_over_D_mean,predicted_L_over_D_std,openfoam_Cl_mean,openfoam_Cl_std,openfoam_Cd_mean,openfoam_Cd_std,openfoam_L_over_D_mean,openfoam_L_over_D_std
deeponet,3,51.08299866365994,8.875671478522582,1.0273329333333334,0.17060590335159373,0.02739591666666667,0.0004220977332719678,37.46686469613461,5.951830132233632
fno,3,20.925179575990153,0.3015714037132912,1.1455195666666669,0.2652948463891889,0.05356897,0.018165552851933792,22.10175594145268,3.4598610273262147
pinn,3,38.816674768884894,4.871995665442864,0.8692372333333335,0.13673641966002817,0.023021263333333337,0.004191483259638923,37.895901242453334,1.5948940534447023
unet,3,21.746614819919262,5.016489161237381,0.8337872333333333,0.045807817809772736,0.03412564666666667,0.0013256954256665944,24.444358968348897,1.348558208565005
