AoA,Cd_grid_pressure,Cd_model_integrated_pressure,Cd_model_pressure,Cd_openfoam_total,Cl_grid_pressure,Cl_model_integrated_pressure,Cl_model_pressure,Cl_openfoam_total,L_over_D_model_pressure,L_over_D_openfoam_total,Re,U_inf,case,model,naca
-4.0,0.011003579829418637,0.35201030931918414,0.027347970753908157,0.03793027,-0.14837193726470765,-0.7321909545978085,-0.18407568335533142,-0.5082811,-6.730871734935803,-13.400408170044663,100000.0,0.09999999999999999,case_161,unet,0018
-4.0,0.010607259476576866,0.09878098426504157,0.026846352964639664,0.03277269,-0.15172910685751106,-0.20886005719044307,-0.1900412142276764,-0.5197019,-7.07884659335243,-15.857773652391673,200000.0,0.19999999999999998,case_162,unet,0018
-4.0,0.011480677512938573,0.025725660141335958,0.02614639699459076,0.03097693,-0.14836629445924762,-0.06008627589622774,-0.17546331882476807,-0.5096941,-6.710802978363268,-16.45399011457882,500000.0,0.5,case_163,unet,0018
-4.0,0.011398486771332126,0.00647605383768534,0.02308899536728859,0.0299423,-0.14937422604597808,-0.03440924962025252,-0.24387401342391968,-0.5130127,-10.562348406437337,-17.133376527521264,1000000.0,1.0,case_164,unet,0018
-2.0,0.011443416302752907,0.2761236361108305,0.025535430759191513,0.03379945,-0.08757321462877271,-0.03584073873216124,-0.01777532696723938,-0.2996185,-0.6961044493381466,-8.864596909121301,100000.0,0.09999999999999999,case_165,unet,0018
-2.0,0.01108330772768074,0.07709863137821454,0.024194879457354546,0.02803965,-0.08780633569024239,0.011726578547696084,-0.02356506884098053,-0.2996733,-0.9739692600046176,-10.687483616949569,200000.0,0.19999999999999998,case_166,unet,0018
-2.0,0.010825346235246242,0.022502302697995472,0.021240390837192535,0.02486737,-0.09017743057912293,0.013340563702934958,-0.031311050057411194,-0.3073287,-1.474127773702951,-12.358713446576779,500000.0,0.5,case_167,unet,0018
-2.0,0.010740158169826609,0.008976150990835438,0.019619226455688477,0.02379338,-0.09096552248619358,0.006714923405770602,-0.04568159580230713,-0.3098783,-2.328409629476601,-13.02371920256811,1000000.0,1.0,case_168,unet,0018
0.0,0.011338937208183157,0.2552444743627604,0.024921748787164688,0.03130639,-0.027259108679219872,0.511112422377893,0.17041856050491333,-0.08984878,6.838146149385916,-2.869982134637689,100000.0,0.09999999999999999,case_169,unet,0018
0.0,0.010969479388716983,0.07207424806690152,0.02326544187963009,0.02556863,-0.027663341687568167,0.1775204990832379,0.16933754086494446,-0.08992623,7.278500951800399,-3.517053123299919,200000.0,0.19999999999999998,case_170,unet,0018
