AoA,Cd_grid_pressure,Cd_model_integrated_pressure,Cd_model_pressure,Cd_openfoam_total,Cl_grid_pressure,Cl_model_integrated_pressure,Cl_model_pressure,Cl_openfoam_total,L_over_D_model_pressure,L_over_D_openfoam_total,Re,U_inf,case,model,naca
-4.0,0.014729634125007324,0.12893263798971133,0.02406127192080021,0.03055369,-0.23739448819051023,-2.608794248597124,-0.3741547763347626,-0.4695631,-15.55008303660446,-15.368457950578145,100000.0,0.09999999999999999,case_001,fno,0006
-4.0,0.014157268737397198,0.03351337092813432,0.023346807807683945,0.02561826,-0.22967837926528342,-0.6577663639997312,-0.3619345426559448,-0.456578,-15.502528038836395,-17.822365765668707,200000.0,0.19999999999999998,case_002,fno,0006
-4.0,0.014117520171714961,0.00611601619686313,0.020537545904517174,0.02294054,-0.23094041372456667,-0.10741588775376679,-0.30902937054634094,-0.4593368,-15.047044665564002,-20.022928841256572,500000.0,0.5,case_003,fno,0006
-4.0,0.014105000179260417,0.0018661073093952888,0.01585971936583519,0.02202942,-0.23136888689124374,-0.023992358909367607,-0.12405374646186829,-0.4602652,-7.8219383080070966,-20.893205540590717,1000000.0,1.0,case_004,fno,0006
-2.0,0.0076237275462381305,0.06549683868279153,0.019701525568962097,0.01950764,-0.1351466855892897,-2.6942495146716667,-0.2901690900325775,-0.2673035,-14.728254876348847,-13.702503224377732,100000.0,0.09999999999999999,case_005,fno,0006
-2.0,0.0072358732135409665,0.018928844431799468,0.01856861263513565,0.01461151,-0.12610651021180214,-0.6698460739928337,-0.260000616312027,-0.2512893,-14.002156295729499,-17.198037711365902,200000.0,0.19999999999999998,case_006,fno,0006
-2.0,0.007167699621027662,0.004083087653646235,0.015988484025001526,0.01177091,-0.1269542824832864,-0.09755951431976005,-0.1358536183834076,-0.2531204,-8.49696682755979,-21.503893921540477,500000.0,0.5,case_007,fno,0006
-2.0,0.0071451795448632515,0.0008632654165000553,0.015458804555237293,0.01080532,-0.12724091756833503,-0.01340483076077227,0.026093825697898865,-0.253738,1.687958833081859,-23.48269185919529,1000000.0,1.0,case_008,fno,0006
0.0,0.005083854888971317,0.021951584038344057,0.01566232368350029,0.01632171,-0.017727678733466857,-2.343332754373098,-0.10310307145118713,-0.03385765,-6.582871962977155,-2.0743935531264803,100000.0,0.09999999999999999,case_009,fno,0006
0.0,0.004936194627345643,0.006812896433967624,0.015420467592775822,0.01168694,-0.018315231121128504,-0.5498250040713827,-0.06243184208869934,-0.03503927,-4.048634823366018,-2.9981560613813367,200000.0,0.19999999999999998,case_010,fno,0006
0.0,0.0048563421622021645,0.0015566035265669358,0.0154174929484725,0.008793256,-0.01868862447031557,-0.057911076306540174,0.020699039101600647,-0.03578722,1.342568416978029,-4.069848529372965,500000.0,0.5,case_011,fno,0006
0.0,0.004830199669895075,-2.597415479743265e-05,0.018294543027877808,0.007809732,-0.018820008288352726,0.013174633068696484,0.15627619624137878,-0.03604435,8.542230106717623,-4.615312023511178,1000000.0,1.0,case_012,fno,0006
2.0,0.0067812065485400004,0.0003847188665343288,0.015548031777143478,0.01842412,0.08967807738544534,-1.134918575196547,0.036058709025382996,0.1818919,2.3191815878837745,9.872487804030804,100000.0,0.09999999999999999,case_013,fno,0006
2.0,0.006633702822814245,0.0038685913031227745,0.015813570469617844,0.01381151,0.08984768098371905,-0.15943825569426032,0.056514859199523926,0.1825693,3.5738203025119653,13.21863431297519,200000.0,0.19999999999999998,case_014,fno,0006
2.0,0.006550530579396326,0.0016648750167905465,0.01795588806271553,0.01093149,0.08995741500243155,0.046055740700263886,0.14542189240455627,0.1829588,8.098841555295573,16.736858378866923,500000.0,0.5,case_015,fno,0006
2.0,0.006522645257790596,0.0009119314530402138,0.028816429898142815,0.009952477,0.08999079987924193,0.044164195267505674,0.4119955003261566,0.1830806,14.297242988893265,18.395480843613104,1000000.0,1.0,case_016,fno,0006
4.0,0.01344329712318345,0.10376338710018161,0.018978752195835114,0.02818171,0.20184261030793485,1.6158264520725383,0.17736995220184326,0.4048118,9.345712003172006,14.364344817968817,100000.0,0.09999999999999999,case_017,fno,0006
4.0,0.012901187247819216,0.03378016736834575,0.02069874480366707,0.0232264,0.19480392726513174,0.5609461603836324,0.22621583938598633,0.3928634,10.928964124718764,16.91451968449695,200000.0,0.19999999999999998,case_018,fno,0006
4.0,0.012824965548058911,0.009444942716459416,0.02803071402013302,0.0204691,0.1953673699074085,0.1686832875744791,0.39666932821273804,0.3943028,14.151238813532572,19.26331885622719,500000.0,0.5,case_019,fno,0006
4.0,0.01279950836276696,0.004410020130061797,0.04465130716562271,0.01953112,0.19555700484018082,0.08401517903304946,0.6405658721923828,0.3947766,14.345960126460934,20.212696455707608,1000000.0,1.0,case_020,fno,0006
6.0,0.024501291576083932,0.42788968063910493,0.03025495819747448,0.04516426,0.29147130913882763,4.7534125897585975,0.439263254404068,0.5837019,14.518719594222917,12.923977941850481,100000.0,0.09999999999999999,case_021,fno,0006
6.0,0.02449211166286163,0.1233437091979935,0.033461954444646835,0.04073193,0.29357292159280346,1.3876974969757518,0.4942849278450012,0.5866558,14.771549840660182,14.402848085028133,200000.0,0.19999999999999998,case_022,fno,0006
6.0,0.02444509727152257,0.02847734488834229,0.04371514543890953,0.03822575,0.2946053280845173,0.3251004999134459,0.6307519674301147,0.5890972,14.42868280769121,15.411004362242728,500000.0,0.5,case_023,fno,0006
6.0,0.024427662548430224,0.012249586981483573,0.06269091367721558,0.03737801,0.2949417261884738,0.14684172060640976,0.7824276685714722,0.589904,12.48071885823923,15.78211360101835,1000000.0,1.0,case_024,fno,0006
8.0,0.04178242655622149,1.0834862092086472,0.046351365745067596,0.07555937,0.37811122138302966,8.820879001028597,0.6575671434402466,0.7433421,14.186575365586084,9.83785465654359,100000.0,0.09999999999999999,case_025,fno,0006
8.0,0.042067557966031524,0.30134096439989916,0.050016384571790695,0.07287644,0.3822543936436812,2.4598985406582305,0.6907594799995422,0.7521703,13.810663963687041,10.321172384381015,200000.0,0.19999999999999998,case_026,fno,0006
8.0,0.041262015466376284,0.0673292372349975,0.061618514358997345,0.06958468,0.3766227402924965,0.5650602022177942,0.7755478620529175,0.742898,12.586279791402896,10.676171824027932,500000.0,0.5,case_027,fno,0006
