model,epoch,train_loss,val_loss
unet,1,9.486915997526246,6.83874087035656
unet,2,9.117249561033038,6.566959127783775
unet,3,9.005988972420196,6.6126145124435425
unet,4,8.980695925676484,6.582785651087761
unet,5,8.939385270846754,6.592664003372192
unet,6,8.857295634994747,6.471922367811203
unet,7,8.748113910482509,6.4382718950510025
unet,8,8.7061927401305,6.5274848490953445
unet,9,8.681522157290004,6.508438900113106
unet,10,8.744177830332085,6.403141096234322
unet,11,8.600212747742326,6.387391552329063
unet,12,8.549134514685308,6.460838556289673
unet,13,8.554504284723324,6.330937922000885
unet,14,8.528185643608262,6.332174837589264
unet,15,8.504728272134198,6.423110663890839
unet,16,8.52306026464757,6.6901900470256805
unet,17,8.727500569557165,6.412085458636284
unet,18,8.52134217524002,6.366108879446983
unet,19,8.530705315081478,6.372202381491661
unet,20,8.531938737499225,6.3156915456056595
unet,21,8.546655307056776,6.364512503147125
unet,22,8.514390799525408,6.326971560716629
unet,23,8.471508078770682,6.30483840405941
unet,24,8.488624949560556,6.325316816568375
unet,25,8.454628375426452,6.286738783121109
unet,26,8.425792737714124,6.3633056581020355
unet,27,8.418632605098399,6.511242046952248
unet,28,8.490257102984359,6.338349103927612
unet,29,8.42249306368903,6.426373660564423
unet,30,8.447770120969706,6.262308582663536
unet,31,8.42537371518108,6.271627381443977
unet,32,8.418894894115557,6.281107619404793
unet,33,8.406928108317619,6.318958282470703
unet,34,8.399158578565821,6.34987573325634
unet,35,8.443267349941122,6.281083896756172
unet,36,8.409508104956112,6.301778972148895
unet,37,8.380291713149013,6.516729354858398
unet,38,8.401264479483716,6.315182492136955
unet,39,8.418984340944501,6.356515407562256
unet,40,8.37233536025327,6.310971662402153
unet,41,8.389624694920489,6.291897729039192
unet,42,8.372225090532273,6.300674721598625
unet,43,8.386691437910784,6.290009498596191
unet,44,8.400651981401895,6.281035199761391
unet,45,8.365980116538822,6.306267321109772
unet,46,8.367726798313273,6.261701822280884
unet,47,8.394920800386544,6.27596578001976
unet,48,8.361344526994868,6.300808236002922
unet,49,8.361149383268145,6.2769584357738495
unet,50,8.36948408313354,6.38227204978466
unet,51,8.401389288977494,6.285714641213417
unet,52,8.346787342889828,6.343010723590851
unet,53,8.349043793482736,6.256462678313255
unet,54,8.381416157969165,6.2655990570783615
unet,55,8.340946938337211,6.281694650650024
unet,56,8.351403812504717,6.281810879707336
unet,57,8.384159627773032,6.3310059905052185
unet,58,8.427150692097396,6.268575802445412
