AoA,Re,U_inf,ambient_pressure_Pa,case,fn,fp,min_pred_margin_Pa,min_truth_margin_Pa,model,naca,pred_risky_fraction,tn,tp,truth_risky_fraction
-2.0,1000000.0,1.0,2500.0,case_008,3,17,-166.056396484375,-157.775146484375,unet,0006,0.002461841457410143,8101,3,0.0007385524372230429
-2.0,1000000.0,1.0,3000.0,case_008,0,0,333.943603515625,342.224853515625,unet,0006,0.0,8124,0,0.0
-2.0,1000000.0,1.0,5000.0,case_008,0,0,2333.943359375,2342.22509765625,unet,0006,0.0,8124,0,0.0
-2.0,1000000.0,1.0,10000.0,case_008,0,0,7333.943359375,7342.224609375,unet,0006,0.0,8124,0,0.0
-2.0,1000000.0,1.0,25000.0,case_008,0,0,22333.943359375,22342.224609375,unet,0006,0.0,8124,0,0.0
-2.0,1000000.0,1.0,101325.0,case_008,0,0,98658.9453125,98667.2265625,unet,0006,0.0,8124,0,0.0
0.0,100000.0,0.09999999999999999,2500.0,case_009,0,0,198.16650390625,198.991455078125,unet,0006,0.0,8124,0,0.0
0.0,100000.0,0.09999999999999999,3000.0,case_009,0,0,698.16650390625,698.991455078125,unet,0006,0.0,8124,0,0.0
0.0,100000.0,0.09999999999999999,5000.0,case_009,0,0,2698.16650390625,2698.9912109375,unet,0006,0.0,8124,0,0.0
0.0,100000.0,0.09999999999999999,10000.0,case_009,0,0,7698.166015625,7698.9912109375,unet,0006,0.0,8124,0,0.0
0.0,100000.0,0.09999999999999999,25000.0,case_009,0,0,22698.166015625,22698.9921875,unet,0006,0.0,8124,0,0.0
0.0,100000.0,0.09999999999999999,101325.0,case_009,0,0,99023.1640625,99023.9921875,unet,0006,0.0,8124,0,0.0
0.0,200000.0,0.19999999999999998,2500.0,case_010,0,0,192.87353515625,195.914306640625,unet,0006,0.0,8124,0,0.0
0.0,200000.0,0.19999999999999998,3000.0,case_010,0,0,692.87353515625,695.914306640625,unet,0006,0.0,8124,0,0.0
0.0,200000.0,0.19999999999999998,5000.0,case_010,0,0,2692.87353515625,2695.9140625,unet,0006,0.0,8124,0,0.0
0.0,200000.0,0.19999999999999998,10000.0,case_010,0,0,7692.8740234375,7695.9140625,unet,0006,0.0,8124,0,0.0
0.0,200000.0,0.19999999999999998,25000.0,case_010,0,0,22692.873046875,22695.9140625,unet,0006,0.0,8124,0,0.0
0.0,200000.0,0.19999999999999998,101325.0,case_010,0,0,99017.875,99020.9140625,unet,0006,0.0,8124,0,0.0
0.0,500000.0,0.5,2500.0,case_011,0,0,159.161376953125,174.264892578125,unet,0006,0.0,8124,0,0.0
0.0,500000.0,0.5,3000.0,case_011,0,0,659.161376953125,674.264892578125,unet,0006,0.0,8124,0,0.0
0.0,500000.0,0.5,5000.0,case_011,0,0,2659.1611328125,2674.26513671875,unet,0006,0.0,8124,0,0.0
0.0,500000.0,0.5,10000.0,case_011,0,0,7659.1611328125,7674.2646484375,unet,0006,0.0,8124,0,0.0
0.0,500000.0,0.5,25000.0,case_011,0,0,22659.162109375,22674.265625,unet,0006,0.0,8124,0,0.0
0.0,500000.0,0.5,101325.0,case_011,0,0,98984.1640625,98999.265625,unet,0006,0.0,8124,0,0.0
0.0,1000000.0,1.0,2500.0,case_012,0,0,50.985595703125,96.791015625,unet,0006,0.0,8124,0,0.0
0.0,1000000.0,1.0,3000.0,case_012,0,0,550.985595703125,596.791015625,unet,0006,0.0,8124,0,0.0
0.0,1000000.0,1.0,5000.0,case_012,0,0,2550.9853515625,2596.791015625,unet,0006,0.0,8124,0,0.0
0.0,1000000.0,1.0,10000.0,case_012,0,0,7550.9853515625,7596.791015625,unet,0006,0.0,8124,0,0.0
0.0,1000000.0,1.0,25000.0,case_012,0,0,22550.986328125,22596.791015625,unet,0006,0.0,8124,0,0.0
0.0,1000000.0,1.0,101325.0,case_012,0,0,98875.984375,98921.7890625,unet,0006,0.0,8124,0,0.0
2.0,100000.0,0.09999999999999999,2500.0,case_013,0,0,197.617431640625,196.831787109375,unet,0006,0.0,8124,0,0.0
2.0,100000.0,0.09999999999999999,3000.0,case_013,0,0,697.617431640625,696.831787109375,unet,0006,0.0,8124,0,0.0
2.0,100000.0,0.09999999999999999,5000.0,case_013,0,0,2697.6171875,2696.83154296875,unet,0006,0.0,8124,0,0.0
2.0,100000.0,0.09999999999999999,10000.0,case_013,0,0,7697.6171875,7696.83203125,unet,0006,0.0,8124,0,0.0
2.0,100000.0,0.09999999999999999,25000.0,case_013,0,0,22697.6171875,22696.83203125,unet,0006,0.0,8124,0,0.0
2.0,100000.0,0.09999999999999999,101325.0,case_013,0,0,99022.6171875,99021.828125,unet,0006,0.0,8124,0,0.0
2.0,200000.0,0.19999999999999998,2500.0,case_014,0,0,190.35302734375,187.179443359375,unet,0006,0.0,8124,0,0.0
2.0,200000.0,0.19999999999999998,3000.0,case_014,0,0,690.35302734375,687.179443359375,unet,0006,0.0,8124,0,0.0
2.0,200000.0,0.19999999999999998,5000.0,case_014,0,0,2690.35302734375,2687.1796875,unet,0006,0.0,8124,0,0.0
2.0,200000.0,0.19999999999999998,10000.0,case_014,0,0,7690.353515625,7687.1796875,unet,0006,0.0,8124,0,0.0
2.0,200000.0,0.19999999999999998,25000.0,case_014,0,0,22690.353515625,22687.1796875,unet,0006,0.0,8124,0,0.0
2.0,200000.0,0.19999999999999998,101325.0,case_014,0,0,99015.3515625,99012.1796875,unet,0006,0.0,8124,0,0.0
2.0,500000.0,0.5,2500.0,case_015,0,0,137.50537109375,119.328125,unet,0006,0.0,8124,0,0.0
2.0,500000.0,0.5,3000.0,case_015,0,0,637.50537109375,619.328125,unet,0006,0.0,8124,0,0.0
2.0,500000.0,0.5,5000.0,case_015,0,0,2637.50537109375,2619.328125,unet,0006,0.0,8124,0,0.0
