x,y
1.0,0.0
0.9998286366462708,0.0015706168487668037
0.9993147850036621,0.0031401573214679956
0.9984586834907532,0.0047075459733605385
0.9972609281539917,0.006271707825362682
0.9957224130630493,0.007831571623682976
0.9938441514968872,0.00938606821000576
0.9916274547576904,0.010934131219983101
0.9890738129615784,0.01247470173984766
0.9861849546432495,0.014006721787154675
0.9829629063606262,0.015529142692685127
0.9794098734855652,0.01704092137515545
0.9755282402038574,0.018541019409894943
0.9713207483291626,0.020028412342071533
0.9667901992797852,0.02150207757949829
0.9619397521018982,0.022961005568504333
0.9567727446556091,0.024404197931289673
0.9512926340103149,0.025830665603280067
0.9455032348632812,0.02723943069577217
0.939408540725708,0.028629526495933533
0.9330127239227295,0.029999999329447746
0.9263200759887695,0.03134991228580475
0.9193353056907654,0.03267834335565567
0.9120631217956543,0.03398437425494194
0.9045084714889526,0.03526711463928223
0.8966766595840454,0.03652568534016609
0.8885729908943176,0.03775922209024429
0.8802030086517334,0.03896688297390938
0.8715724349021912,0.04014783725142479
0.8626871705055237,0.04130127280950546
0.8535534143447876,0.04242640733718872
0.8441773056983948,0.043522462248802185
0.834565281867981,0.044588688760995865
0.824724018573761,0.04562435671687126
0.8146601915359497,0.04662875831127167
0.8043807148933411,0.04760120064020157
0.7938926219940186,0.04854102060198784
0.783203125,0.049447569996118546
0.772319495677948,0.05032023414969444
0.761249303817749,0.05115840956568718
0.75,0.05196152254939079
0.7385793924331665,0.05272902548313141
0.7269952297210693,0.053460393100976944
0.7152555584907532,0.05415511876344681
0.7033683061599731,0.0548127256333828
0.6913416981697083,0.055432770401239395
0.6791839599609375,0.05601482465863228
0.6669034361839294,0.05655848979949951
0.6545084714889526,0.05706338956952095
0.6420076489448547,0.057529184967279434
0.6294095516204834,0.0579555481672287
0.6167227029800415,0.05834219604730606
0.603955864906311,0.05868885666131973
0.5911177396774292,0.05899529531598091
0.5782172083854675,0.059261299669742584
0.5652630925178528,0.059486690908670425
0.5522642135620117,0.0596713125705719
0.5392295718193054,0.05981504172086716
0.5261679887771606,0.05991777032613754
0.5130884647369385,0.05997943878173828
0.5,0.05999999865889549
0.4869115352630615,0.05997943878173828
0.47383201122283936,0.05991777032613754
0.46077045798301697,0.05981504172086716
0.4477357566356659,0.0596713125705719
0.4347369074821472,0.059486690908670425
0.4217827618122101,0.059261299669742584
0.4088822305202484,0.05899529531598091
0.39604416489601135,0.05868885666131973
0.3832773268222809,0.05834219604730606
0.370590478181839,0.0579555481672287
0.3579923212528229,0.057529184967279434
0.345491498708725,0.05706338956952095
0.33309656381607056,0.05655848979949951
0.3208160400390625,0.05601482465863228
0.30865827202796936,0.055432770401239395
0.29663166403770447,0.0548127256333828
0.2847444415092468,0.05415511876344681
0.2730047404766083,0.053460393100976944
0.2614206075668335,0.05272902548313141
0.25,0.05196152254939079
0.23875071108341217,0.05115840956568718
0.2276804894208908,0.05032023414969444
0.216796875,0.049447569996118546
0.20610737800598145,0.04854102060198784
0.19561928510665894,0.04760120064020157
0.1853398084640503,0.04662875831127167
0.175275981426239,0.04562435671687126
0.16543470323085785,0.044588688760995865
0.15582270920276642,0.043522462248802185
0.1464466154575348,0.04242640733718872
0.13731281459331512,0.04130127280950546
0.12842757999897003,0.04014783725142479
0.11979701370000839,0.03896688297390938
0.11142701655626297,0.03775922209024429
0.10332333296537399,0.03652568534016609
0.09549150615930557,0.03526711463928223
0.08793690800666809,0.03398437425494194
0.08066471666097641,0.03267834335565567
0.07367991656064987,0.03134991228580475
0.0669872984290123,0.029999999329447746
0.0605914443731308,0.028629526495933533
0.05449673905968666,0.02723943069577217
0.04870735853910446,0.025830665603280067
0.04322727024555206,0.024404197931289673
0.03806023299694061,0.022961005568504333
0.03320978581905365,0.02150207757949829
0.02867925353348255,0.020028412342071533
0.024471741169691086,0.018541019409894943
0.020590132102370262,0.01704092137515545
0.017037086188793182,0.015529142692685127
0.01381503976881504,0.014006721787154675
0.010926200076937675,0.01247470173984766
0.008372546173632145,0.010934131219983101
0.006155829876661301,0.00938606821000576
0.004277569241821766,0.007831571623682976
0.002739052288234234,0.006271707825362682
0.0015413331566378474,0.0047075459733605385
0.0006852326332591474,0.0031401573214679956
0.00017133750952780247,0.0015706168487668037
0.0,7.347880950074885e-18
0.00017133750952780247,-0.0015706168487668037
0.0006852326332591474,-0.0031401573214679956
0.0015413331566378474,-0.0047075459733605385
0.002739052288234234,-0.006271707825362682
0.004277569241821766,-0.007831571623682976
0.006155829876661301,-0.00938606821000576
0.008372546173632145,-0.010934131219983101
0.010926200076937675,-0.01247470173984766
0.01381503976881504,-0.014006721787154675
0.017037086188793182,-0.015529142692685127
0.020590132102370262,-0.01704092137515545
0.024471741169691086,-0.018541019409894943
0.02867925353348255,-0.020028412342071533
0.03320978581905365,-0.02150207757949829
0.03806023299694061,-0.022961005568504333
0.04322727024555206,-0.024404197931289673
0.04870735853910446,-0.025830665603280067
0.05449673905968666,-0.02723943069577217
0.0605914443731308,-0.028629526495933533
0.0669872984290123,-0.029999999329447746
0.07367991656064987,-0.03134991228580475
0.08066471666097641,-0.03267834335565567
0.08793690800666809,-0.03398437425494194
0.09549150615930557,-0.03526711463928223
0.10332333296537399,-0.03652568534016609
0.11142701655626297,-0.03775922209024429
0.11979701370000839,-0.03896688297390938
0.12842757999897003,-0.04014783725142479
0.13731281459331512,-0.04130127280950546
0.1464466154575348,-0.04242640733718872
0.15582270920276642,-0.043522462248802185
0.16543470323085785,-0.044588688760995865
0.175275981426239,-0.04562435671687126
0.1853398084640503,-0.04662875831127167
0.19561928510665894,-0.04760120064020157
0.20610737800598145,-0.04854102060198784
0.216796875,-0.049447569996118546
0.2276804894208908,-0.05032023414969444
