model,epoch,train_loss,val_loss
unet,1,9.598285990741413,6.896297797560692
unet,2,9.105486683223559,6.80855929851532
unet,3,9.020136052911932,6.843607127666473
unet,4,8.972697148681158,6.857313767075539
unet,5,8.901723730705472,6.727342188358307
unet,6,8.826944202302473,6.813621863722801
unet,7,8.840731804549929,6.754055067896843
unet,8,8.786172459719209,6.752268373966217
unet,9,8.672047277684268,6.847391411662102
unet,10,8.66094819453394,6.699398919939995
unet,11,8.624465163988559,6.657089278101921
unet,12,8.624374466922443,6.598207861185074
unet,13,8.582611778508062,6.875780671834946
unet,14,8.663914395886447,6.637816339731216
unet,15,8.547031224480731,6.685070171952248
unet,16,8.538656253117347,6.619660779833794
unet,17,8.583453385726266,6.6299037635326385
unet,18,8.530325514525764,6.8319651037454605
unet,19,8.550129407950541,6.63888455927372
unet,20,8.547421760709861,6.959286764264107
unet,21,8.509798545611234,7.030227899551392
unet,22,8.533050606844453,6.60118468105793
unet,23,8.489113830295004,6.580676317214966
unet,24,8.434337550001182,6.653193309903145
unet,25,8.508399499263689,6.566642552614212
unet,26,8.404518609461578,6.638912126421928
unet,27,8.466506307775324,6.761096149682999
unet,28,8.427898234058274,6.629331156611443
unet,29,8.474797633325629,6.5556434988975525
unet,30,8.409250366829129,6.673507288098335
unet,31,8.433819358056713,6.584702700376511
unet,32,8.476142626034884,6.5849528312683105
unet,33,8.520207395666672,6.577118158340454
unet,34,8.514036576267287,6.680777028203011
unet,35,8.412612059370803,7.091748431324959
unet,36,8.428598445394766,6.695755422115326
unet,37,8.415868240382832,6.584134474396706
unet,38,8.414405536274664,6.593532517552376
unet,39,8.434581017070137,6.564102336764336
unet,40,8.401960741389882,6.945407211780548
unet,41,8.410497272909865,6.551254957914352
unet,42,8.418613814553725,6.5999118238687515
unet,43,8.36148106533548,6.601030170917511
unet,44,8.372904386444997,6.614641308784485
unet,45,8.454940769512191,6.5593815594911575
unet,46,8.40582703695938,6.606200471520424
unet,47,8.395847339403959,6.553454160690308
unet,48,8.379131567808008,6.576828598976135
unet,49,8.473099727404447,6.547159641981125
unet,50,8.396466251418525,6.628457292914391
unet,51,8.409237872941691,6.591547504067421
unet,52,8.410247283490751,6.633678570389748
unet,53,8.387000312918259,6.591641008853912
unet,54,8.370514473896252,6.562601387500763
unet,55,8.367719424100732,6.558658376336098
unet,56,8.347756697726345,6.556460931897163
unet,57,8.387391844285807,6.55143415927887
unet,58,8.376916962649982,6.581666439771652
unet,59,8.388395924813192,6.636896163225174
unet,60,8.289298074518738,6.574000313878059
unet,61,8.324110019819539,6.487265035510063
unet,62,8.172777255062059,5.951961889863014
unet,63,7.808886179339744,5.5128340274095535
unet,64,7.2138042242630664,5.006422743201256
unet,65,6.8691716639420735,5.6433310359716415
unet,66,6.702168820874964,4.774665534496307
unet,67,6.396521624840295,4.890935614705086
unet,68,6.518781233446401,4.717784866690636
unet,69,6.2912532208936485,4.533930391073227
unet,70,6.371758375243236,4.7166058868169785
unet,71,6.074700042664298,4.644434943795204
unet,72,5.983961470513476,4.38254089653492
unet,73,5.995195743123533,4.342937603592873
unet,74,5.92974757771247,4.796168491244316
unet,75,5.895700177656332,4.296208277344704
unet,76,5.944417411630804,4.441632315516472
unet,77,5.809684886291564,4.506630018353462
unet,78,5.840882352218326,4.226053588092327
unet,79,5.715057274098453,4.542337492108345
unet,80,5.716831520140878,4.162193447351456
unet,81,5.718352864853478,4.242749892175198
unet,82,5.713023525924079,4.194904021918774
unet,83,5.673041881779908,4.301959380507469
unet,84,5.628000212281118,4.061117976903915
unet,85,5.654256582731315,4.365727543830872
unet,86,5.612653716043993,4.115038618445396
unet,87,5.622381794594022,4.200104534626007
unet,88,5.53500829572263,4.224012613296509
unet,89,5.641252393779076,4.103574596345425
unet,90,5.595285064146924,4.139813952147961
unet,91,5.614381997010454,4.149101950228214
unet,92,5.516631390266268,4.112585358321667
unet,93,5.493463129335241,4.151015087962151
unet,94,5.539256394498433,4.339828081429005
unet,95,5.635432007284503,4.987063713371754
unet,96,5.522133333409728,4.109498910605907
unet,97,5.434859216095431,4.190897271037102
unet,98,5.63065485944861,4.163220606744289
unet,99,5.515716803403711,4.254253998398781
unet,100,5.525683200053075,4.05887296795845
unet,101,5.48084302758982,4.212800480425358
unet,102,5.512978364356422,4.435012266039848
unet,103,5.522484094257883,4.035845071077347
unet,104,5.450410583744878,4.048745155334473
unet,105,5.465432080355558,4.182215817272663
unet,106,5.416381254497724,4.161642238497734
unet,107,5.361921028657393,4.171249121427536
unet,108,5.4397308053706475,4.120418801903725
unet,109,5.464757471216526,3.993945851922035
unet,110,5.408618169339749,3.9771873354911804
unet,111,5.360608882348057,3.961908258497715
unet,112,5.488374490511747,4.180110394954681
unet,113,5.3931085526236435,4.207436807453632
unet,114,5.418418906658535,3.9775756746530533
unet,115,5.367120893576399,3.995272032916546
unet,116,5.409166577305247,4.028036616742611
unet,117,5.309308168916363,4.037885092198849
unet,118,5.322256135846315,4.013821020722389
unet,119,5.355607353180294,4.025270998477936
