field,mae,model,n,r2,relative_rmse,rmse
Ux,0.291372421232025,unet,510240,0.022466014884155006,0.7755616806612821,0.34660653608400316
Uy,0.02517769683308351,unet,510240,0.5784095487156793,1.8734855911953545,0.041256593983305244
p,15.728555051911846,unet,510240,0.42507832775183074,0.00033256064704816594,33.695608176926534
nut,7.809330378788557e-06,unet,510240,0.04830639483937671,4.294193121576495,2.901953006717629e-05
k,0.00013132061481352389,unet,510240,0.010217882136159262,39.71927178007611,0.0037680394288027367
omega,0.5366997017351955,unet,510240,0.07442188766065783,8.868320407173687,4.993392778850746
Cp,0.023498083148505006,unet,510240,0.9501815266687645,1.8814351346953417,0.03828678273775099
cavitation_margin,15.65638527641404,unet,510240,0.4274987150896361,0.0003395680647425882,33.62460506065298
Cl,0.1027683769788169,unet,510240,0.9406212697211831,0.2845880930810832,0.12703922577287957
Cd,0.006400023543044596,unet,510240,0.6695220661034529,0.21014432443385408,0.00821190470831591
Ux,0.02463344075261738,pinn,510240,0.9911334809354437,0.07386300744913442,0.03301014193334357
Uy,0.00803185646856182,pinn,510240,0.9222864928452139,0.8043651180394759,0.017713168035690383
p,4.553639877190146,pinn,510240,0.9360622783627295,0.0001109034597636394,11.236926433811917
nut,9.336477970090294e-06,pinn,510240,-0.014186399935523397,4.432940351766811,2.995716358859722e-05
k,0.00029557048645998074,pinn,510240,0.0065170464046050425,39.793458487058224,0.0037750772828336323
omega,0.7244578390871401,pinn,510240,0.05956498232009999,8.939211927408712,5.033308928580404
Cp,0.0213113952159807,pinn,510240,0.9340246054552066,2.1651352997236386,0.044060017424824786
cavitation_margin,4.48634221150831,pinn,510240,0.9348854679173527,0.00011451900570836453,11.339865961192308
Cl,0.03730349876518093,pinn,510240,0.9915938419613902,0.1070779498905891,0.04779925858518584
Cd,0.002866139491904946,pinn,510240,0.9395532926801744,0.08987372785146572,0.003512036267863427
Ux,0.2573410763126947,fno,510240,0.2148663930447139,0.6950598370912022,0.31062942962818824
Uy,0.022152461127087682,fno,510240,0.7288811941806203,1.5023973048906074,0.033084746368364566
p,13.101205238588703,fno,510240,0.6377838196363744,0.0002639674880889005,26.745633101931283
nut,8.993154992690657e-06,fno,510240,0.08041882040518111,4.221123254870799,2.8525734577817382e-05
k,0.00018023984937110693,fno,510240,0.011124848127437414,39.701069650384824,0.003766312651364703
omega,0.8070621518888965,fno,510240,0.07937562920405805,8.844556715490375,4.980012404551877
Cp,0.04047167125291913,fno,510240,0.8545808649116475,3.2144362811050304,0.0654130568997486
cavitation_margin,13.19880903165667,fno,510240,0.636468402800402,0.00027058872042524766,26.794153522839462
Cl,0.21790399930456536,fno,510240,0.7311274054404253,0.6055842078698537,0.2703308774276424
Cd,0.008801734615275744,fno,510240,0.41537974473165173,0.2795009966245185,0.010922186722593742
Ux,0.02257976679811263,deeponet,510240,0.9917460639666946,0.07126576640388112,0.03184940804909226
Uy,0.005731068568608416,deeponet,510240,0.9685098061963746,0.5120267388644223,0.011275495991643637
p,3.2277594704207826,deeponet,510240,0.9556316168447382,9.238539452773327e-05,9.360644691151352
nut,1.0427276769683718e-05,deeponet,510240,-0.2719023331751398,4.964321257871305,3.3548158158529735e-05
k,0.00026272949827195404,deeponet,510240,-0.06783808635470145,41.25572078858424,0.003913797399302779
omega,0.7190323387111157,deeponet,510240,-0.04143636373862414,9.407001351297854,5.296702245919422
Cp,0.018173737185894764,deeponet,510240,0.9523692919371748,1.839659982835627,0.03743666777306556
cavitation_margin,3.1894825076189637,deeponet,510240,0.9567266143128201,9.335746369157774e-05,9.244414219202778
Cl,0.029725542649925784,deeponet,510240,0.9945886672478162,0.08591191356532842,0.038350806830475044
Cd,0.003380285583104437,deeponet,510240,0.9152305504612269,0.10643050263861117,0.004159032836509192
