AoA,Re,U_inf,ambient_pressure_Pa,case,fn,fp,min_pred_margin_Pa,min_truth_margin_Pa,model,naca,pred_risky_fraction,tn,tp,truth_risky_fraction
0.0,100000.0,0.09999999999999999,3000.0,case_009,0,0,698.277099609375,698.991455078125,fno,0006,0.0,8124,0,0.0
0.0,100000.0,0.09999999999999999,5000.0,case_009,0,0,2698.27685546875,2698.9912109375,fno,0006,0.0,8124,0,0.0
0.0,100000.0,0.09999999999999999,10000.0,case_009,0,0,7698.27734375,7698.9912109375,fno,0006,0.0,8124,0,0.0
0.0,100000.0,0.09999999999999999,25000.0,case_009,0,0,22698.27734375,22698.9921875,fno,0006,0.0,8124,0,0.0
0.0,100000.0,0.09999999999999999,101325.0,case_009,0,0,99023.2734375,99023.9921875,fno,0006,0.0,8124,0,0.0
0.0,200000.0,0.19999999999999998,2500.0,case_010,0,0,193.565673828125,195.914306640625,fno,0006,0.0,8124,0,0.0
0.0,200000.0,0.19999999999999998,3000.0,case_010,0,0,693.565673828125,695.914306640625,fno,0006,0.0,8124,0,0.0
0.0,200000.0,0.19999999999999998,5000.0,case_010,0,0,2693.56591796875,2695.9140625,fno,0006,0.0,8124,0,0.0
0.0,200000.0,0.19999999999999998,10000.0,case_010,0,0,7693.5654296875,7695.9140625,fno,0006,0.0,8124,0,0.0
0.0,200000.0,0.19999999999999998,25000.0,case_010,0,0,22693.56640625,22695.9140625,fno,0006,0.0,8124,0,0.0
0.0,200000.0,0.19999999999999998,101325.0,case_010,0,0,99018.5625,99020.9140625,fno,0006,0.0,8124,0,0.0
0.0,500000.0,0.5,2500.0,case_011,0,0,168.645263671875,174.264892578125,fno,0006,0.0,8124,0,0.0
0.0,500000.0,0.5,3000.0,case_011,0,0,668.645263671875,674.264892578125,fno,0006,0.0,8124,0,0.0
0.0,500000.0,0.5,5000.0,case_011,0,0,2668.6455078125,2674.26513671875,fno,0006,0.0,8124,0,0.0
0.0,500000.0,0.5,10000.0,case_011,0,0,7668.6455078125,7674.2646484375,fno,0006,0.0,8124,0,0.0
0.0,500000.0,0.5,25000.0,case_011,0,0,22668.64453125,22674.265625,fno,0006,0.0,8124,0,0.0
0.0,500000.0,0.5,101325.0,case_011,0,0,98993.6484375,98999.265625,fno,0006,0.0,8124,0,0.0
0.0,1000000.0,1.0,2500.0,case_012,0,2,-9.97998046875,96.791015625,fno,0006,0.0002461841457410143,8122,0,0.0
0.0,1000000.0,1.0,3000.0,case_012,0,0,490.02001953125,596.791015625,fno,0006,0.0,8124,0,0.0
0.0,1000000.0,1.0,5000.0,case_012,0,0,2490.02001953125,2596.791015625,fno,0006,0.0,8124,0,0.0
0.0,1000000.0,1.0,10000.0,case_012,0,0,7490.0205078125,7596.791015625,fno,0006,0.0,8124,0,0.0
0.0,1000000.0,1.0,25000.0,case_012,0,0,22490.01953125,22596.791015625,fno,0006,0.0,8124,0,0.0
0.0,1000000.0,1.0,101325.0,case_012,0,0,98815.0234375,98921.7890625,fno,0006,0.0,8124,0,0.0
